idOpstina,NazivOpstineLat,Godina,OznakaOP,Opis,IznosUkupno
70505,Dimitrovgrad,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),481244
70505,Dimitrovgrad,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),401515
70505,Dimitrovgrad,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),534508
70513,Doljevac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),254821
70513,Doljevac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),406756
70513,Doljevac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),402993
70467,Gadzin Han,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),302740
70467,Gadzin Han,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),200279
70467,Gadzin Han,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),261948
70475,Golubac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),181465
70475,Golubac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),266622
70475,Golubac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),283335
70483,Gornji Milanovac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1280556
70483,Gornji Milanovac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1033486
70483,Gornji Milanovac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1293143
79014,Grad Beograd,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),80923156
79014,Grad Beograd,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),94659950
79014,Grad Beograd,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),81347396
79022,Grad Nis,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),7767289
79022,Grad Nis,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),6230696
79022,Grad Nis,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),7789225
89010,Grad Novi Sad,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),14017114
89010,Grad Novi Sad,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),16935076
89010,Grad Novi Sad,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),16071155
79049,Grad Pozarevac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2101252
79049,Grad Pozarevac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2445622
79049,Grad Pozarevac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2684542
