,norm_percent_change,ingov11,ingov13,mun,mun_id,wage_2011,wage_2013,dummy_1became aligned,dummy_2aligned both years,dummy_3unaligned both years,dummy_4stopped being aligned,area_km2,pop_total,labor_pariticpation_rate,wage_2012,employment_rate,dummy_city,dummy_normal,constant,Tax_Income_per_Capita
130,30.6664231649,1.0,-1.0,Bac,80055,28157.0,31607.0,0.0,0.0,0.0,1.0,367.0,13917.0,0.396043040611,30822.0,0.783523225241,0.0,1.0,1,1035.6664511
33,30.6588859196,1.0,1.0,Valjevo,70360,32010.0,36874.0,0.0,1.0,0.0,0.0,905.0,88527.0,0.474975640004,34510.0,0.827582991421,0.0,1.0,1,
129,30.5378659385,1.0,1.0,Apatin,80047,39722.0,47665.0,0.0,1.0,0.0,0.0,380.0,28002.0,0.406408793944,44206.0,0.694054605767,0.0,1.0,1,
145,28.0900622358,1.0,-1.0,Kovacica,80217,26692.0,30017.0,0.0,0.0,0.0,1.0,419.0,24650.0,0.376948642874,27072.0,0.752178020363,0.0,1.0,1,523.278701826
148,27.8122534491,0.0,1.0,Mali Idjos,80241,26959.0,32665.0,1.0,0.0,0.0,0.0,181.0,11705.0,0.35267226332,30996.0,0.749234032524,0.0,1.0,1,620.876548484
134,27.3486985797,1.0,-1.0,Bela Crkva,80098,26482.0,32545.0,0.0,0.0,0.0,1.0,353.0,16844.0,0.3436978177,29947.0,0.706651030323,0.0,1.0,1,
86,25.709854594,0.0,0.0,Presevo,70963,32074.0,40115.0,0.0,0.0,1.0,0.0,264.0,29744.0,0.376298701299,39793.0,0.566005176877,0.0,1.0,1,
146,25.0260203727,1.0,1.0,Kovin,80225,35123.0,41522.0,0.0,1.0,0.0,0.0,730.0,32808.0,0.389182136291,38431.0,0.764782078635,0.0,1.0,1,
51,24.707560812,1.0,1.0,Zajecar,70556,33550.0,39442.0,0.0,1.0,0.0,0.0,1069.0,57457.0,0.401641412018,37394.0,0.74859726991,0.0,1.0,1,
157,23.3736675938,0.0,-1.0,Plandiste,80349,23900.0,27852.0,0.0,0.0,1.0,0.0,383.0,10867.0,0.341566690191,25791.0,0.751549586777,0.0,1.0,1,114.262445937
138,23.1005233857,1.0,-1.0,zabalj,80136,32283.0,38320.0,0.0,0.0,0.0,1.0,400.0,25728.0,0.374225147318,35994.0,0.709509202454,0.0,1.0,1,
128,21.7591281584,1.0,-1.0,Alibunar,80039,25662.0,30346.0,0.0,0.0,0.0,1.0,602.0,19434.0,0.336558979703,29031.0,0.747567089354,0.0,1.0,1,
54,21.7200758412,1.0,1.0,Knic,70599,28029.0,32369.0,0.0,1.0,0.0,0.0,413.0,13675.0,0.389829317974,31064.0,0.826666666667,0.0,1.0,1,
79,21.5847772768,0.0,1.0,Novi Pazar,70874,29677.0,34652.0,1.0,0.0,0.0,0.0,742.0,103087.0,0.309262025695,32898.0,0.631339967153,0.0,1.0,1,57.5050200316
153,21.3890486782,0.0,0.0,Opovo,80292,29041.0,35767.0,0.0,0.0,1.0,0.0,203.0,10159.0,0.395785440613,31783.0,0.832284607938,0.0,1.0,1,
64,21.146181676,0.0,1.0, Lajkovac,70700,53613.0,62313.0,1.0,0.0,0.0,0.0,186.0,15150.0,0.467851373183,60259.0,0.918093922652,0.0,1.0,1,97.6910891089
66,20.7808304556,1.0,1.0,Leskovac,70726,29022.0,33998.0,0.0,1.0,0.0,0.0,1025.0,140487.0,0.412437762645,31980.0,0.64328468626,0.0,1.0,1,
45,19.0968068706,1.0,1.0,Despotovac,70491,33398.0,39819.0,0.0,1.0,0.0,0.0,623.0,22094.0,0.324953645811,37112.0,0.822054140127,0.0,1.0,1,
165,18.4952741275,1.0,1.0,Stara Pazova,80420,28458.0,33638.0,0.0,1.0,0.0,0.0,350.0,65389.0,0.415278453307,31444.0,0.782007173706,0.0,1.0,1,
171,18.070558882,1.0,1.0,sid,80497,29856.0,39944.0,0.0,1.0,0.0,0.0,687.0,33200.0,0.385486135486,34530.0,0.74269671447,0.0,1.0,1,
126,17.7236990184,1.0,1.0,Grad Vranje,79057,29779.0,33211.0,0.0,1.0,0.0,0.0,860.0,82425.0,0.414000766247,32300.0,0.720524017467,1.0,0.0,1,
169,17.1822388493,1.0,-1.0,Vrbas,80462,35479.0,39174.0,0.0,0.0,0.0,1.0,376.0,41029.0,0.398674332415,36594.0,0.717060961802,0.0,1.0,1,18.1569134027
149,16.7491708358,0.0,1.0,Nova Crnja,80250,30334.0,35602.0,1.0,0.0,0.0,0.0,273.0,9836.0,0.348033489097,34416.0,0.692027972028,0.0,1.0,1,
170,16.6744437807,1.0,0.0,coka,80489,27872.0,33690.0,0.0,0.0,0.0,1.0,321.0,10938.0,0.409194595543,31319.0,0.841981132075,0.0,1.0,1,
132,15.7421168322,0.0,0.0,Backa Topola,80071,31970.0,36474.0,0.0,0.0,1.0,0.0,596.0,32305.0,0.38561267669,35229.0,0.799050509767,0.0,1.0,1,
83,15.2393415335,0.0,1.0,Pirot,70939,34662.0,36429.0,1.0,0.0,0.0,0.0,1232.0,56396.0,0.420211296782,38043.0,0.712266863857,0.0,1.0,1,
29,15.0894720571,1.0,1.0,Bor,70327,42080.0,52381.0,0.0,1.0,0.0,0.0,856.0,47444.0,0.429723336419,48428.0,0.783208080034,0.0,1.0,1,
95,14.6294473364,1.0,-1.0,Svilajnac,71056,33894.0,38702.0,0.0,0.0,0.0,1.0,326.0,22595.0,0.345590420789,37141.0,0.815333579064,0.0,1.0,1,
77,14.3961274204,1.0,1.0,Negotin,70840,32548.0,39121.0,0.0,1.0,0.0,0.0,1090.0,35103.0,0.381206822107,35172.0,0.851337958375,0.0,1.0,1,
2,14.2008709147,1.0,1.0,Arandjelovac,70033,32092.0,37517.0,0.0,1.0,0.0,0.0,376.0,45125.0,0.392601406165,35968.0,0.75606127397,0.0,1.0,1,
167,13.7474249872,0.0,0.0,Temerin,80446,28736.0,32556.0,0.0,0.0,1.0,0.0,170.0,28098.0,0.434157033266,29910.0,0.773715495481,0.0,1.0,1,
163,13.7298387613,0.0,0.0,Sremska Mitrovica,80403,34356.0,40134.0,0.0,0.0,1.0,0.0,762.0,78186.0,0.409532149112,37725.0,0.790427026697,0.0,1.0,1,13.4643030722
131,12.7660860383,0.0,1.0,Backa Palanka,80063,39759.0,48591.0,1.0,0.0,0.0,0.0,590.0,54161.0,0.400032416078,44575.0,0.754963309774,0.0,1.0,1,
68,12.5209519856,1.0,-1.0,Lucani,70742,35036.0,41472.0,0.0,0.0,0.0,1.0,454.0,20012.0,0.387711154711,38828.0,0.83892865959,0.0,1.0,1,
103,11.6876647976,0.0,1.0,Topola,71153,29256.0,31682.0,1.0,0.0,0.0,0.0,357.0,21506.0,0.446235836804,29746.0,0.861099959855,0.0,1.0,1,2.22821538175
61,10.0351729406,1.0,1.0,Krusevac,70670,31393.0,36149.0,0.0,1.0,0.0,0.0,854.0,125853.0,0.398432645706,33699.0,0.699428838769,0.0,1.0,1,0.0
