,,"Novo Postavljanje Predsednika Opstine? (neovisno od toga da li je nova osoba, cisto da li se glasalo",Isti predsednik kao pre?,Promena Partije iz Koje je Predsednik? Neovisno od promene samog predsednika,Ime Novog Predsednika,MB Partije,Ime Partije Novog Predsednika,MB Prethodne Partijske Pripadnosti Predsednika,Ime Prethodne Partijske Pripadnosti Predsednika ,Datum Dogadjaja
,,"0 - ne, 1 - da",,"0 - ne, 1 - da",bez latinicnih/ cirilicnih slova,vidite sifarnik,,,,Dan/Mesec/Godina
mun_id,mun,appointment,same_person,party_change,pres_name,party_id,party_abr,prior_party_id,prior_party_name,date
71315,Nis-Crveni Krst,1,0,0,Darko Bulatovic,1,SNS,17,SRS,17-Jul-2012
71315,Nis-Crveni Krst,1,,,Lelica Kostic,17,SRS,,,6-Jun-2008
71323,Nis-Palilula,,,,,,,,,
71331,Nis-Mediana,1,0,1,Zoran Stojanovic,1,SNS,4,URS,4-Aug-2014
71331,Nis-Mediana,1,0,1,Nebojsa Krstic,4,URS,2,DS,1-May-2012
71331,Nis-Mediana,1,1,0,Dragoslav Crikovic,2,DS,2,DS,23-Apr-2008
71340,Kostolac,1,0,0,Ivan Savic,1,SNS,1,SNS,1-Nov-2014
71340,Kostolac,1,0,1,Borka Sutovic,1,SNS,3,SPS,4-Jun-2012
71340,Kostolac,1,0,1,Vladimir Vila,3,SPS,2,DS,4-Apr-2008
71358,Vranjska Banja,,,,,,,,,
79014,Grad Beograd,1,0,1,Sinisa Mali,1,SNS,2,DS,24-Apr-2015
79014,Grad Beograd,1,1,0,Dragan Djilas,2,DS,2,DS,11-Jun-2012
79014,Grad Beograd,1,0,0,Dragan Djilas,2,DS,2,DS,23-Apr-2008
79022,Grad Nis,1,0,1,Zoran Perisic,1,SNS,2,DS,1-Jul-2012
79022,Grad Nis,1,,,Milos Simonovic,2,DS,,,2-Jun-2008
79057,Grad Vranje,1,0,0,Zoran Antic,3,SPS,3,SPS,5-Jul-2012
79057,Grad Vranje,1,1,0,Miroljub Stojcic,3,SPS,3,SPS,14-Mar-2008
80012,Ada,1,1,0,Zoltan Bilicki,2,DS,,,6-Jun-2012
80012,Ada,1,0,1,Zoltan Bilicki,2,DS,,,29-May-2008
80039,Alibunar,1,0,1,Predrag Belic,1,SNS,2,DS,19-Jun-2015
80039,Alibunar,1,1,0,Dusan Jovanovic,2,DS,2,DS,4-Jun-2012
80039,Alibunar,1,,0,Dusan Jovanovic,2,DS,,,10-Oct-2011
80047,Apatin,1,1,0,Zivorad Smiljanic,3,SPS,3,SPS,1-Jun-2012
80047,Apatin,1,1,0,Zivorad Smiljanic,3,SPS,3,SPS,25-May-2008
80055,Bac,1,0,1,Dragan Stasevic,1,SNS,,,27-Apr-2014
80055,Bac,1,0,1,Ognjen Markovic,2,DS,,,22-Dec-2012
80055,Bac,1,0,1,Mirko Pusara,1,SNS,,,18-Jun-2012
80055,Bac,1,,,Tomislav Bogunovic,2,DS,,,6-Jun-2008
80063,Backa Palanka,1,0,1,Aleksandar Djedovac,1,SNS,1,SNS,29-Mar-2013
80063,Backa Palanka,1,0,1,Bojan Radman,3,SPS,17,SRS,3-Jul-2012
80063,Backa Palanka,1,,,Dragan Bozalo,17,SRS,,,5-Jun-2008
80071,Backa Topola,1,0,0,Gabor Kislinder,6,SVM,6,SVM,12-Dec-2014
80071,Backa Topola,1,0,0,Melinda Kokai Menjak,6,SVM,6,SVM,5-May-2012
80071,Backa Topola,1,,,Atila Babi ,6,SVM,,,15-May-2008
80080,Backi Petrovac,1,0,0,Pavel Marcok,2,DS,2,DS,10-May-2012
80080,Backi Petrovac,1,,,Vladimir Turan,2,DS,,,1-May-2008
80098,Bela Crkva,1,0,1,Darko Bogosavljevic,1,SNS,,,15-Jan-2016
80098,Bela Crkva,1,0,0,Stanko Petrovic,2,DS,,,10-Jul-2012
80098,Bela Crkva,1,,,Zeljko Crnogorac,2,DS,,,1-Jun-2008
80101,Beocin,1,0,1,Milan Sodic,1,SNS,,,23-Dec-2014
80101,Beocin,1,1,0,Bogdan Cvejic,2,DS,,,29-Dec-2012
80101,Beocin,1,0,0,Bogdan Cvejic,2,DS,,,1-Dec-2008
80110,Becej,1,0,1,Vuk Radojevic,1,SNS,6,SVM,26-Dec-2012
80110,Becej,1,,,Peter Knezi,6,SVM,,,8-Jun-2008
80128,Vrsac,0,1,1,Cedomir Zivkovic,1,SNS,,,19-Nov-2015
80128,Vrsac,1,1,1,Cedomir Zivkovic,45,VS,,,10-Dec-2012
80128,Vrsac,1,0,0,Cedomir Zivkovic,2,DS,,,1-Sep-2008
80136,zabalj,0,1,1,Cedomir Bozic,36,GGCB,2,DS,4-Feb-2016
80136,zabalj,0,1,1,Cedomir Bozic,2,DS,19,SDS,7-Feb-2015
80136,zabalj,0,1,1,Cedomir Bozic,19,SDS,2,DS,15-Mar-2014
80136,zabalj,1,0,0,Cedomir Bozic,2,DS,2,DS,10-Jun-2012
80136,zabalj,1,0,1,Branko Stajic,2,DS,,,1-Jun-2008
80144,zitiste,1,0,1,Mitar Vucurevic,1,SNS,2,DS,7-Aug-2013
80144,zitiste,1,0,1,Ljubinko Petrovic,2,DS,3,SPS,25-Jun-2013
80144,zitiste,1,0,1,Dusan Milicev,3,SPS,2,DS,10-Jul-2012
80144,zitiste,1,0,,Dragan Milenkovic,2,DS,,,2-Aug-2008
80152,Zrenjanin,1,0,1,Eleonora Marjanovic,3,SPS,1,SNS,30-Jan-2015
80152,Zrenjanin,1,0,0,Cedomir Janjic,1,SNS,1,SNS,12-Jul-2014
80152,Zrenjanin,1,0,0,Ivan Bosnjak,1,SNS,1,SNS,21-Aug-2012
80152,Zrenjanin,1,0,1,Goran Knezevic,1,SNS,2,DS,6-Jul-2012
80152,Zrenjanin,1,0,,Mileta Mihajlov,2,DS,,,1-Apr-2009
80179,Indjija,1,0,0,Petar Filipovic,2,DS,2,DS,23-Aug-2012
80179,Indjija,1,1,0,Goran Jesic,2,DS,2,DS,25-May-2008
80187,Irig,1,0,1,Stevan Kazimirovic,1,SNS,,,10-Feb-2015
80187,Irig,1,1,0,Vladimir Petrovic,2,DS,,,12-Jun-2012
80187,Irig,1,,,Vladimir Petrovic,2,DS,,,1-Jun-2008
80195,Kanjiza,1,0,0,Mihalj Bimbo,6,SVM,6,SVM,10-Jul-2014
80195,Kanjiza,1,1,0,Mihalj Njilas,6,SVM,6,SVM,15-May-2012
80195,Kanjiza,1,,,Mihalj Njilas,6,SVM,,,7-Jun-2008
80209,Kikinda,1,0,1,Pavle Markov,1,SNS,2,DS,13-Sep-2013
80209,Kikinda,1,0,0,Savo Dobranic,2,DS,2,DS,16-Jul-2012
80209,Kikinda,1,,,Ilija Vojinovic,2,DS,,,10-Jun-2008
80217,Kovacica,1,0,1,Jan Husarik,1,SNS,2,DS,29-Oct-2015
80217,Kovacica,1,1,0,Miroslav Krisan,2,DS,2,DS,1-Jun-2012
80217,Kovacica,1,,,Miroslav Krisan,2,DS,,,9-Jun-2008
80225,Kovin,1,0,1,Sanja Petrovic,1,SNS,3,SPS,18-Sep-2015
80225,Kovin,1,0,1,Zoran Nikolic,3,SPS,1,SNS,23-Jun-2015
80225,Kovin,1,0,0,Sanja Petrovic,1,SNS,1,SNS,19-Feb-2015
80225,Kovin,1,0,0,Dusan Petrovic,1,SNS,1,SNS,12-Jun-2014
80225,Kovin,1,0,1,Gordana Zoric,1,SNS,2,DS,15-May-2013
80225,Kovin,1,0,1,Slavko Brankovic,2,DS,17,SRS,7-May-2009
80233,Kula,1,0,1,Dragan Trifunovic,1,SNS,2,DS,8-Oct-2012
80233,Kula,1,0,0,Lazar Greber,2,DS,2,DS,6-Jun-2012
80233,Kula,1,,,Svetozar Bukvic,2,DS,,,14-May-2008
80241,Mali Idjos,1,0,1,Marko Rovcanin,3,SPS,,,29-Jun-2013
80241,Mali Idjos,1,0,1,Erzebet Celuska-Frindik,2,DS,,,15-May-2012
80241,Mali Idjos,1,,,Robert Core,6,SVM,,,1-Jul-2008
80250,Nova Crnja,1,0,1,Petar Milankov,24,N,,,24-Mar-2004
80250,Nova Crnja,1,0,1,Danica Stricevic,1,SNS,,,13-Jan-2014
80250,Nova Crnja,1,0,1,Petar Milankov,24,N,,,28-Dec-2013
80250,Nova Crnja,1,0,1,Danica Stricevic,1,SNS,,,31-May-2013
80250,Nova Crnja,1,0,1,Mile Todorov,3,SPS,,,20-Nov-2012
80250,Nova Crnja,1,1,0,Petar Milankov,2,DS,,,25-May-2012
80250,Nova Crnja,1,,,Petar Milankov,24,N,,,1-Jun-2008
80268,Novi Becej,1,0,1,Sasa Sucurovic,20,LDP,,,6-Jul-2012
80268,Novi Becej,1,0,0,Milivoje Verbalov,2,DS,,,11-Jul-2008
80276,Novi Knezevac,0,1,1,Dragan Babic,19,SDS,,,15-Apr-2014
80276,Novi Knezevac,1,1,0,Dragan Babic,2,DS,,,10-May-2012
80276,Novi Knezevac,1,,,Dragan Babic,2,DS,,,6-Jun-2008
80284,Novi Sad - grad ,1,0,1,Milos Vucevic,1,SNS,2,DS,15-Sep-2012
80284,Novi Sad - grad ,1,1,0,Igor Pavlicic,2,DS,2,DS,20-Jun-2012
80284,Novi Sad - grad ,1,0,1,Igor Pavlicic,2,DS,17,SRS,16-Jul-2008
80292,Opovo,1,0,1,Milos Markov,1,SNS,39,GGMS,25-Sep-2015
80292,Opovo,1,1,0,Milorad Soldatovic,39,GGMS,39,GGMS,5-May-2012
80292,Opovo,1,1,1,Milorad Soldatovic,39,GGMS,12,PSS,10-Jun-2008
80306,Odzaci,1,0,1,Dusan Marijan,1,SNS,2,DS,20-May-2012
80306,Odzaci,1,,,Predrag Cvetanovic,2,DS,,,29-Mar-2010
80314,Pancevo,1,0,0,Sasa Pavlov,1,SNS,1,SNS,19-Jun-2015
80314,Pancevo,1,0,1,Pavle Radanov,1,SNS,3,SPS,20-Jun-2013
80314,Pancevo,1,0,1,Svetozar Gavrilovic,3,SPS,2,DS,7-Jul-2012
80314,Pancevo,1,,,Vesna Martinovic,2,DS,,,8-Jul-2008
80322,Pecinci,1,0,0,Dubravka Kovacevic Suboticki,1,SNS,,,24-Apr-2014
80322,Pecinci,1,0,1,Sava Cojic,1,SNS,,,1-Aug-2012
80322,Pecinci,1,0,0,Sinisa Vukov,2,DS,,,16-Jul-2008
80349,Plandiste,0,1,1,Milan Selakovic,1,SNS,,,27-Feb-2014
80349,Plandiste,1,0,1,Milan Selakovic,2,DS,,,23-Jun-2012
80349,Plandiste,1,,,Zoran Vorkapic,50,GGZV,,,25-Jun-2008
80357,Ruma,0,0,0,Sladjan Mancic,1,SNS,,,13-Sep-2014
80357,Ruma,1,0,1,Dragan Panic,1,SNS,,,10-Dec-2013
80357,Ruma,1,0,1,Goran Vukovic,2,DS,,,19-Sep-2009
80365,Senta,1,0,1,Cegledi Rudolf,6,SVM,2,DS,14-Jul-2012
80365,Senta,1,,,Aniko Sirkova,2,DS,,,10-Oct-2010
80373,Secanj,0,1,1,Predrag Milosevic,1,SNS,2,DS,22-Jan-2014
80373,Secanj,1,1,0,Predrag Milosevic,2,DS,33,GGZROS,6-Jun-2012
80373,Secanj,1,1,,Predrag Milosevic,33,GGZROS,,,10-Jun-2008
80381,Sombor,1,0,1,Sasa Todorovic,1,SNS,2,DS,22-May-2014
80381,Sombor,1,1,0,Nemanja Delic,2,DS,2,DS,21-Jun-2012
80381,Sombor,1,0,0,Nemanja Delic,2,DS,2,DS,17-Nov-2009
80390,Srbobran,1,1,0,Zoran Mladenovic,3,SPS,,,21-Jun-2013
80390,Srbobran,1,0,1,Zoran Mladenovic,3,SPS,,,10-Jul-2012
80390,Srbobran,1,1,0,Branko Gajin,2,DS,,,1-Jul-2008
80403,Sremska Mitrovica,0,1,1,Branislav Nedimovic,1,SNS,28,GGVM,16-Jan-2015
80403,Sremska Mitrovica,1,1,0,Branislav Nedimovic,28,GGVM,28,GGVM,2-Jun-2012
80403,Sremska Mitrovica,1,0,0,Branislav Nedimovic,7,DSS,7,DSS,30-Jun-2008
80411,Sremski Karlovci,1,1,0,Milenko Filipovic,2,DS,2,DS,22-May-2012
80411,Sremski Karlovci,1,1,0,Milenko Filipovic,2,DS,,,10-Jul-2008
80420,Stara Pazova,1,0,1,Djordje Radinovic,1,SNS,2,DS,4-Jul-2012
80420,Stara Pazova,1,0,,Goran Jovic,2,DS,,,1-May-2008
80438,Subotica,0,1,1,Jene Maglai,14,MP,6,SVM,24-Aug-2015
80438,Subotica,1,0,1,Jene Maglai,6,SVM,2,DS,21-Nov-2013
80438,Subotica,1,0,0,Modest Dulic,2,DS,2,DS,1-Jul-2012
80438,Subotica,1,,,Sasa Vucinic,2,DS,,,28-May-2008
80446,Temerin,1,0,1,Djuro Ziga,1,SNS,6,SVM,11-Oct-2014
80446,Temerin,1,0,0,Andras Gustonj,6,SVM,6,SVM,1-Dec-2013
80446,Temerin,1,0,1,Vladislav Capik,6,SVM,2,DS,23-Jun-2012
80446,Temerin,1,0,,Andras Gustonj,40,DSVM,,,10-Oct-2010
80454,Titel,1,0,1,Dragan Bozic,1,SNS,,,19-Nov-2014
80454,Titel,1,0,1,Milan Nastasic,2,DS,,,12-Jul-2014
80454,Titel,1,0,1,Dragan Bozic,1,SNS,,,29-Jun-2012
80454,Titel,1,1,0,Milivoj Petrovic,2,DS,,,1-Jun-2008
80462,Vrbas,1,0,1,Bratislav Kazic,1,SNS,,,11-Jul-2013
80462,Vrbas,1,0,0,Milan Stanimirovic,2,DS,2,DS,22-Dec-2012
80462,Vrbas,1,1,0,Zeljko Vidovic,2,DS,2,DS,16-May-2012
80462,Vrbas,1,,,Zeljko Vidovic,2,DS,,,22-May-2008
80489,Coka,1,0,1,Balaz Ferenc,6,SVM,2,DS,28-Jun-2012
80489,Coka,1,0,0,Emilj Poljak,2,DS,2,DS,10-May-2008
80497,Sid,1,0,1,Nikola Vasic,1,SNS,2,DS,29-Aug-2012
80497,Sid,1,,,Natasa Cvjetkovic,2,DS,,,11-Mar-2009
80519,Petrovaradin,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
