,,"Novo Postavljanje Predsednika Opstine? (neovisno od toga da li je nova osoba, cisto da li se glasalo",Isti predsednik kao pre?,Promena Partije iz Koje je Predsednik? Neovisno od promene samog predsednika,Ime Novog Predsednika,MB Partije,Ime Partije Novog Predsednika,MB Prethodne Partijske Pripadnosti Predsednika,Ime Prethodne Partijske Pripadnosti Predsednika ,Datum Dogadjaja
,,"0 - ne, 1 - da",,"0 - ne, 1 - da",bez latinicnih/ cirilicnih slova,vidite sifarnik,,,,Dan/Mesec/Godina
mun_id,mun,appointment,same_person,party_change,pres_name,party_id,party_abr,prior_party_id,prior_party_name,date
70157,Beograd-Zemun,1,0,0,Dejan Matic,1,SNS,1,SNS,4-Jul-2013
70157,Beograd-Zemun,1,0,1,Branislav Prostran,1,SNS,17,SRS,21-Jul-2009
70165,Beograd-Lazarevac,,,,,,,,,
70173,Beograd-Mladenovac,,,,,,,,,
70181,Beograd-Novi Beograd,,,,,,,,,
70190,Beograd-Obrenovac,,,,,,,,,
70203,Beograd-Palilula,1,0,0,Stojan Nikolic,2,DS,2,DS,10-Jun-2012
70203,Beograd-Palilula,1,,,Danilo Basic,2,DS,,,15-Jul-2008
70211,Beograd-Rakovica,1,0,0,Vladan Kocic,1,SNS,1,SNS,10-Jun-2014
70211,Beograd-Rakovica,1,0,1,Milosav Milickovic,1,SNS,2,DS,5-Jul-2012
70211,Beograd-Rakovica,1,1,0,Bojan Milic,2,DS,2,DS,13-Jul-2008
70220,Beograd-Savski Venac,,,,,,,,,
70238,Beograd-Sopot,,,,,,,,,
70246,Beograd-Stari Grad,,,,,,,,,
70254,Beograd-cukarica,,,,,,,,,
70262,Blace,1,0,1,Ivan Burgic,1,SNS,7,DSS,20-Jun-2014
70262,Blace,1,0,1,Radoje Krstovic,7,DSS,2,DS,6-Mar-2012
70262,Blace,1,,,Nebojsa Milosavljevic,2,DS,,,11-Jul-2008
70289,Bogatic,1,0,1,Nenad Beserovac,3,SPS,2,DS,15-May-2012
70289,Bogatic,1,,,Slobodan Savic,2,DS,,,1-Jul-2008
70297,Bojnik,1,0,1,Ivan Stanojevic,1,SNS,2,DS,5-Jun-2012
70297,Bojnik,1,0,1,Nebojsa Nenadovic,2,DS,17,SRS,20-Dec-2008
70319,Boljevac,0,1,1,Nebojsa Marjanovic,1,SNS,,,1-Jul-2014
70319,Boljevac,1,1,0,Nebojsa Marjanovic,4,URS,,,6-May-2012
70319,Boljevac,0,1,1,Nebojsa Marjanovic,4,URS,,,7-Dec-2010
70327,Bor,1,0,0,Zivorad Petrovic,1,SNS,,,10-Apr-2014
70327,Bor,1,0,1,Sasa Vukadinovic,1,SNS,,,5-Jun-2013
70327,Bor,1,1,0,Nebojsa VIdenovic,4,URS,,,18-May-2012
70327,Bor,1,,,Nebojsa Videnovic,4,URS,,,22-May-2008
70335,Bosilegrad,1,1,0,Vladimir Zaharijev,7,DSS,,,17-Mar-2014
70335,Bosilegrad,1,1,0,Vladimir Zaharijev,7,DSS,,,28-May-2012
70335,Bosilegrad,1,1,0,Vladimir Zaharijev,7,DSS,,,29-May-2008
70343,Brus,1,0,1,Milutin Jelicic,15,NS,1,SNS,24-Mar-2015
70343,Brus,1,0,1,Slobodan Vidojevic,1,SNS,3,SPS,21-Aug-2013
70343,Brus,1,0,1,Zoran Obradovic,3,SPS,15,NS,7-Jun-2012
70343,Brus,1,,,Zoran Sljivic,15,NS,,,1-Jun-2008
70351,Bujanovac,1,0,1,Nagip Arifi,48,DP,,,8-May-2012
70351,Bujanovac,1,,,Saip Kamberi,49,PDD,,,31-May-2008
70360,Valjevo,1,1,0,Stanko Terzic,3,SPS,3,SPS,21-Jun-2014
70360,Valjevo,1,0,1,Stanko Terzic,3,SPS,3,SPs,29-May-2012
70360,Valjevo,1,0,1,Zoran Jakovljevic,2,DS,7,DSS,1-Aug-2008
70378,Varvarin,1,1,0,Zoran Milenkovic,25,SPO,25,SPO,6-May-2012
70378,Varvarin,1,1,0,Zoran Milenkovic,25,SPO,,,7-Jul-2008
70386,Velika Plana,1,0,1,Igor Matkovic,1,SNS,,,22-Aug-2015
70386,Velika Plana,1,1,0,Dejan Sulkic,7,DSS,,,15-May-2012
70386,Velika Plana,1,1,0,Dejan Sulkic,7,DSS,,,1-Jun-2008
70394,Veliko Gradiste,0,1,1,Dragan Milic,1,SNS,,,7-Mar-2016
70394,Veliko Gradiste,1,1,0,Dragan Milic,44,GGDM,,,23-May-2012
