,mun_id,mun,appointment,same_person,party_change,pres_name,party_id,party_abr,prior_party_id,prior_party_name,date
90,70424,Vlasotince,1.0,0.0,1.0,Nebojsa Stojanovic,3,SPS,,,6-Jun-2012
91,70424,Vlasotince,1.0,,,Srdjan Susilic,2,DS,,,1-Jun-2008
92,70432,Vranje,1.0,0.0,0.0,Zoran Antic,3,SPS,3.0,SPS,1-Jul-2012
93,70432,Vranje,1.0,1.0,0.0,Miroljub Stojcic,3,SPS,3.0,SPS,2-Jun-2008
94,70459,Vrnjacka Banja,1.0,0.0,1.0,Boban Djurovic,1,SNS,2.0,SNS,21-Aug-2012
95,70459,Vrnjacka Banja,1.0,,,Zoran Seizovic,2,DS,,,14-May-2008
96,70467,Gadzin Han,1.0,1.0,0.0,Sasa Djordjevic,3,SPS,3.0,SPS,8-May-2012
97,70467,Gadzin Han,1.0,1.0,,Sasa Djordjevic,3,SPS,,,25-May-2008
98,70475,Golubac,1.0,0.0,1.0,Nebojsa Mijovic,1,SNS,2.0,DS,25-Oct-2014
99,70475,Golubac,1.0,1.0,0.0,Zoran Pajkic,2,DS,2.0,DS,6-Jun-2010
100,70483,Gornji Milanovac,1.0,0.0,1.0,Milisav Mirkovic,2,DS,3.0,SPS,6-May-2012
101,70483,Gornji Milanovac,1.0,1.0,0.0,Drazimir Marusic,3,SPS,3.0,SPS,5-May-2008
102,70491,Despotovac,1.0,0.0,1.0,Dejan Nenadovic,3,SPS,2.0,DS,10-Jan-2013
103,70491,Despotovac,1.0,1.0,0.0,Malisa Alimpijevic,2,DS,2.0,DS,21-May-2012
104,70491,Despotovac,1.0,0.0,,Malisa Alimpijevic,2,DS,,,1-Jun-2010
105,70505,Dimitrovgrad,1.0,0.0,1.0,Zoran Djurov,1,SNS,,,27-Jan-2015
106,70505,Dimitrovgrad,1.0,0.0,1.0,Nebojsa Ivanov,42,DPB,,,24-Apr-2013
107,70505,Dimitrovgrad,1.0,1.0,0.0,Vladica Dimitrov,2,DS,,,20-May-2012
108,70505,Dimitrovgrad,1.0,0.0,0.0,Vladica Dimitrov,2,DS,,,15-Dec-2011
109,70513,Doljevac,0.0,1.0,1.0,Goran Ljubic,1,SNS,26.0,PZJ,13-Feb-2016
110,70513,Doljevac,1.0,1.0,0.0,Goran Ljubic,26,PZJ,26.0,PZJ,10-May-2012
111,70513,Doljevac,1.0,1.0,,Goran Ljubic,26,PZJ,,,17-May-2008
112,70521,Zabari,1.0,1.0,0.0,Miodrag Filipovic,3,SPS,3.0,SPS,5-Jun-2014
113,70521,Zabari,1.0,1.0,0.0,Miodrag Filipovic,3,SPS,3.0,SPS,17-May-2012
114,70521,Zabari,1.0,,,Miodrag Filipovic,3,SPS,,,1-Jul-2008
115,70530,zagubica,1.0,0.0,0.0,Safet Pavlovic,3,SPS,3.0,SPS,28-Mar-2013
116,70530,zagubica,1.0,0.0,1.0,Sasa Ognjanovic,3,SPS,4.0,URS,7-Jun-2012
117,70530,zagubica,1.0,,,Dragi Damnjanovic,4,URS,,,3-Jul-2008
118,70548,Zitoradja,0.0,0.0,0.0,Sinisa Ilic ,1,SNS,1.0,SNS,5-Jun-2015
119,70548,Zitoradja,1.0,0.0,1.0,Sladjan Mladenovic,1,SNS,19.0,SDS,2-Jan-2015
120,70548,Zitoradja,1.0,0.0,1.0,Goran Stojkovic,19,SDS,2.0,DS,1-Jun-2014
121,70548,Zitoradja,1.0,0.0,1.0,Miodrag Petrovic,2,DS,3.0,SPS,9-Mar-2011
122,70556,Zajecar,1.0,0.0,1.0,Velimir Ognjanovic,1,SNS,4.0,URS,5-Aug-2013
123,70556,Zajecar,1.0,1.0,0.0,Bosko Nicic,4,URS,4.0,URS,10-Jul-2012
124,70556,Zajecar,1.0,0.0,1.0,Bosko Nicic,4,URS,2.0,DS,1-May-2008
125,70564,Ivanjica,1.0,0.0,1.0,Milomir Zoric,9,GGMZ,10.0,GGZI,27-Jul-2012
126,70564,Ivanjica,1.0,0.0,0.0,Radomir Ristic,10,GGZI,10.0,GGZI,12-May-2009
127,70572,Kladovo,0.0,0.0,1.0,Dragan Budujkic,1,SNS,3.0,SPS,29-May-2015
128,70572,Kladovo,1.0,0.0,1.0,Radovan Arezina,3,SPS,2.0,DS,16-Apr-2008
129,70599,Knic,1.0,0.0,1.0,Ljubomir Djurdjevic,13,JS,3.0,SPS,4-Mar-2014
130,70599,Knic,1.0,0.0,1.0,Dragana Jovanovic,3,SPS,2.0,DS,7-May-2012
131,70599,Knic,1.0,,,Borislav Busarac,2,DS,,,5-May-2008
132,70688,Kursumlija,1.0,1.0,1.0,Radoljub Vidic,1,SNS,7.0,DSS,17-Jul-2012
133,70688,Kursumlija,1.0,0.0,1.0,Goran Bojovic,15,NS,2.0,DS,1-Aug-2009
134,70602,Knjazevac,0.0,1.0,1.0,Milan Djokic,-1,Nejasna,4.0,URS,2-Jun-2014
135,70602,Knjazevac,1.0,0.0,1.0,Milan Djokic,4,URS,2.0,DS,14-Jul-2012
136,70602,Knjazevac,1.0,,,Mladen Radosavljevic,2,DS,,,20-May-2008
137,70629,Kosjeric,1.0,0.0,1.0,Milan Stojanic,1,SNS,,,24-Oct-2012
138,70629,Kosjeric,1.0,0.0,1.0,Dragan Vujadinovic,2,DS,,,10-Nov-2009
139,70637,Koceljeva,1.0,0.0,0.0,Dusan Ilincic,1,SNS,1.0,SNS,9-Oct-2014
140,70637,Koceljeva,0.0,1.0,1.0,Veroljub Matic,1,SNS,8.0,GGVM,24-Jun-2013
141,70637,Koceljeva,1.0,1.0,0.0,Veroljub Matic,8,GGVM,8.0,GGVM,1-Jun-2012
142,70637,Koceljeva,1.0,,,Veroljub Matic,8,GGzVM,,,11-May-2008
143,70645,Kragujevac - grad,1.0,0.0,1.0,Radomir Nikolic,1,SNS,,,28-Oct-2014
144,70645,Kragujevac - grad,1.0,1.0,0.0,Veroljub Stevanovic,4,URS,,,22-May-2012
145,70645,Kragujevac - grad,1.0,0.0,1.0,Veroljub Stevanovic,41,ZzKG,,,28-Apr-2008
146,70653,Kraljevo,0.0,1.0,1.0,Tomislav Ilic,1,SNS,15.0,NS,5-Jan-2016
147,70653,Kraljevo,1.0,0.0,1.0,Tomislav Ilic,15,NS,1.0,SNS,20-Jun-2014
148,70653,Kraljevo,1.0,0.0,1.0,Dragan Jovanovic,1,SNS,2.0,DS,27-Jul-2012
149,70653,Kraljevo,1.0,1.0,0.0,Ljubisa Simovic,2,DS,2.0,DS,20-Jul-2010
150,70661,Krupanj,1.0,0.0,1.0,Rade Grujic,3,SPS,,,8-Mar-2013
151,70661,Krupanj,1.0,0.0,1.0,Nenad Vasiljevic,2,DS,,,22-Jun-2012
152,70661,Krupanj,1.0,,,Savo Doric,15,NS,,,1-Jun-2008
153,70670,Krusevac,1.0,0.0,1.0,Dragi Nestorovic,1,SNS,,,30-Apr-2014
154,70670,Krusevac,1.0,0.0,0.0,Bratislav Gasic,1,SNS,,,20-Jun-2012
155,70670,Krusevac,1.0,0.0,1.0,Dragan Jovanovic,2,DS,,,5-May-2008
156,70696,Kucevo,1.0,0.0,0.0,Novica Janosevic,1,SNS,1.0,SNS,28-Apr-2014
157,70696,Kucevo,1.0,1.0,0.0,Zoran Milekic,1,SNS,1.0,SNS,15-Jul-2012
158,70696,Kucevo,1.0,1.0,,Zoran Milekic,1,SNS,,,18-May-2008
159,70700,Lajkovac,0.0,1.0,1.0,Zivorad Bojicic,11,PS,3.0,SPS,5-Oct-2015
160,70700,Lajkovac,1.0,0.0,1.0,Zivorad Bojicic,3,SPS,7.0,DSS,1-Aug-2012
161,70700,Lajkovac,1.0,1.0,0.0,Dusan Zivanovic,7,DSS,7.0,DSS,5-Jun-2008
162,70718,Lebane,1.0,0.0,1.0,Goran Janjic,1,SNS,,,24-Dec-2013
163,70718,Lebane,1.0,0.0,1.0,Zoran Lilic,4,URS,,,1-Feb-2013
164,70718,Lebane,1.0,1.0,0.0,Mica Stankovic,2,DS,,,6-May-2012
165,70718,Lebane,1.0,1.0,0.0,Mica Stankovic,2,DS,,,21-May-2008
166,70726,Leskovac,1.0,0.0,1.0,Goran Cvetanovic,1,SNS,2.0,DS,1-Nov-2012
167,70726,Leskovac,1.0,0.0,1.0,Slobodan Kocic,2,DS,17.0,SRS,5-Mar-2009
168,71056,Svilajnac,0.0,1.0,1.0,Predrag Milanovic,19,SDS,2.0,DS,18-Jul-2014
169,71056,Svilajnac,1.0,0.0,1.0,Predrag Milanovic,2,DS,4.0,URS,26-May-2012
170,71056,Svilajnac,1.0,,,Gorica Dimcic-Tasic,4,URS,,,25-May-2008
171,70734,Loznica,1.0,1.0,1.0,Vidoje Petrovic,1,SNS,29.0,PzLP,8-Jun-2015
172,70734,Loznica,1.0,1.0,1.0,Vidoje Petrovic,29,PzLP,4.0,URS,29-May-2014
173,70734,Loznica,1.0,1.0,0.0,Vidoje Petrovic,4,URS,4.0,URS,10-May-2012
174,70734,Loznica,1.0,1.0,,Vidoje Petrovic,4,URS,,,3-Jul-2008
175,70742,Lucani,1.0,0.0,1.0,Vesna Stambolic,1,SNS,,,26-Feb-2015
176,70742,Lucani,1.0,0.0,1.0,Mladomir Sretenovic,2,DS,,,20-May-2012
177,70742,Lucani,1.0,,,Slobodan Jolovic,3,SPS,,,1-Jun-2008
178,70769,Ljig,1.0,0.0,1.0,Dragan Lazarevic,1,SNS,3.0,SPS,28-Apr-2014
179,70769,Ljig,1.0,0.0,1.0,Miodrag Starcevic,3,SPS,15.0,NS,21-Jun-2012
180,70769,Ljig,1.0,,,Miroslav Maksimovic,15,NS,,,30-May-2008
181,70777,Ljubovija,1.0,0.0,0.0,Miroslav Micic,3,SPS,3.0,SPS,30-Apr-2013
182,70777,Ljubovija,1.0,0.0,0.0,Milovan Kovacevic,3,SPS,3.0,SPS,15-Apr-2013
183,70777,Ljubovija,1.0,0.0,0.0,Miroslav Micic,3,SPS,3.0,SPS,18-Jul-2012
184,70777,Ljubovija,1.0,,,Milovan Kovacevic,3,SPS,,,22-May-2008
185,70785,Majdanpek,1.0,1.0,0.0,Dejan Vagner,1,SNS,,,7-Nov-2014
186,70785,Majdanpek,1.0,0.0,1.0,Dejan Vagner,1,SNS,,,19-Jul-2013
187,70785,Majdanpek,1.0,1.0,0.0,Dragan Popovic,2,DS,,,8-May-2012
188,70785,Majdanpek,1.0,,,Dragan Popovic,2,DS,,,1-Jun-2008
189,70793,Mali Zvornik,1.0,0.0,1.0,Zoran Jevtic,1,SNS,3.0,SPS,28-Nov-2014
190,70793,Mali Zvornik,1.0,0.0,1.0,Miodrag Lazic,3,SPS,2.0,DS,20-Oct-2010
191,70807,Malo Crnice,1.0,0.0,1.0,Dragan Mitic,3,SPS,,,10-Dec-2012
192,70807,Malo Crnice,1.0,1.0,0.0,Esidol Peric,2,DS,,,7-Jun-2012
193,70807,Malo Crnice,1.0,1.0,0.0,Esidol Peric,2,DS,,,1-Jul-2008
194,70815,Medvedja,1.0,0.0,1.0,Nebojsa Arsic,1,SNS,35.0,GGGJ,12-Nov-2015
195,70815,Medvedja,1.0,1.0,0.0,Slobodan Draskovic,35,GGGJ,3.0,SPS,1-Dec-2010
196,70823,Merosina,1.0,0.0,1.0,Bojan Nesic,1,SNS,,,7-Nov-2013
197,70823,Merosina,1.0,0.0,1.0,Sanja Stajic,4,URS,,,25-Dec-2012
198,70823,Merosina,1.0,1.0,0.0,Slobodan Todorovic,3,SPS,,,1-Jun-2012
199,70823,Merosina,1.0,,,Slobodan Todorovic,3,SPS,,,23-May-2008
200,70831,Mionica,1.0,0.0,1.0,Boban Jankovic,1,SNS,3.0,SPS,22-Jan-2015
201,70831,Mionica,1.0,0.0,1.0,Dragan Gavrilovic,3,SPS,15.0,NS,13-Jun-2012
202,70831,Mionica,1.0,,,Milan Matic,15,NS,,,8-Jul-2008
