old,mun_id,mun,region_id,region,area_id,area
RS215,70904,Para?in,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,71030,Rekovac,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,71056,Svilajnac,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS215,71200,?uprija,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast
RS216,70670,Kruševac-grad,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,70017,Aleksandrovac,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,70343,Brus,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,70378,Varvarin,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,71170,Trstenik,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast
RS216,71196,?i?evac,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast
RS217,70653,Kraljevo-grad,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast
RS217,70459,Vrnja?ka Banja,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast
RS217,70874,Novi Pazar-grad,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast
RS217,71021,Raška,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast
RS217,71188,Tutin,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast
RS218,70645,Kragujevac-grad,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast
RS218,70033,Aran?elovac,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast
RS218,70076,Bato?ina,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast
RS218,70599,Kni?,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast
RS218,71277,Lapovo,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast
RS218,71013,Ra?a,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast
RS218,71153,Topola,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast
RS221,70327,Bor,RS22,Region Južne i Isto?ne Srbije,RS221,Borska oblast
RS221,70572,Kladovo,RS22,Region Južne i Isto?ne Srbije,RS221,Borska oblast
RS221,70785,Majdanpek,RS22,Region Južne i Isto?ne Srbije,RS221,Borska oblast
RS221,70840,Negotin,RS22,Region Južne i Isto?ne Srbije,RS221,Borska oblast
RS222,79049,Grad Požarevac,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70947,Požarevac,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,71340,Kostolac,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70394,Veliko Gradište,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70475,Golubac,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70521,Žabari,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70530,Žagubica,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70696,Ku?evo,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70807,Malo Crni?e,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
RS222,70912,Petrovac na Mlavi,RS22,Region Južne i Isto?ne Srbije,RS222,Brani?evska oblast
