,mun_id,year, domestic borrowing, foreign borrowing, sale forest and water, sale of domestic financial assets, sale of foreign financial assets, sale of goods for resale, sale of inventories, sale of land, sale of other fixed assets , sale of stockpiles, sale of valuables, sale underground valuables,Donations from foreign governments,Donations from international organizations,Excises,"Fines, penalties and forfeits",Income from sale of movable property,Memorandum items for expenditures refund ,Memorandum items for expenditures refund from the previous year,Mixed and indefinite income,Other social contributions,Other taxes,Property income,Revenue from the budget,Sales of goods and services,Single tax on exra profit and extra assets acquired using special benefits,Social security contributions,Taxes on goods and services,"Taxes on income, profits and capital gains ",Taxes on international trade and transactions,Taxes on payroll and workforce,Taxes on property,Transfers between budget users at the same level,Transfers from other level of government,Voluntary transfers other than grants,proceeds from the real estate sales,Unnamed: 0_x,average_wage,Unnamed: 0_y,mun,mun_type,area_km2,pop_total,total,active_total,active_employed,active_unemployed,active_unemp_former,active_unemp_firstjob,inactive_total,inactive_students,inactive_houshold,labor_pariticpation_rate,total_nat,serbs,albanians,bosnians,bulgarians,bunjevci,vlasi,goranci,yugoslavs,hungarians,macedonians,muslims,germans,roma,romanians,russians,rusini,slovaks,slovenians,ukranians,croats,montenegrins,rest,undeclared,regional_assoc,unkown,majority_nationality,wage_2010,wage_2011,wage_2012,wage_2013,wage_2014,employment_rate,employment_per_pop,share_serbian,pop_density
23,70050.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,27603.0,4.0,Babusnica,normal,529.0,11478.0,12307.0,4795.0,3180.0,1615.0,860.0,755.0,7512.0,659.0,1004.0,0.389615665881,12307.0,10933.0,1.0,1.0,632.0,,,,9.0,,5.0,1.0,3.0,244.0,3.0,,,,,,2.0,1.0,5.0,336.0,2.0,129.0,serbs,27603.0,26849.0,28105.0,28843.0,32205.0,0.663190823775,0.277051751176,0.888356220037,21.6975425331
24,70050.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,32205.0,4.0,Babusnica,normal,529.0,11478.0,12307.0,4795.0,3180.0,1615.0,860.0,755.0,7512.0,659.0,1004.0,0.389615665881,12307.0,10933.0,1.0,1.0,632.0,,,,9.0,,5.0,1.0,3.0,244.0,3.0,,,,,,2.0,1.0,5.0,336.0,2.0,129.0,serbs,27603.0,26849.0,28105.0,28843.0,32205.0,0.663190823775,0.277051751176,0.888356220037,21.6975425331
25,70068.0,2011.0,169910.0,0.0,0.0,13630.0,0.0,17380.0,0.0,0.0,1660.0,0.0,0.0,0.0,0.0,20160.0,0.0,24450.0,0.0,27720.0,3280.0,173020.0,0.0,687570.0,1476930.0,0.0,1893170.0,0.0,0.0,324890.0,1710830.0,0.0,70.0,457860.0,5800.0,1161950.0,7220.0,0.0,332.0,31839.0,5.0,Bajina Basta,normal,673.0,25205.0,26022.0,11834.0,10148.0,1686.0,1119.0,567.0,14188.0,2042.0,2603.0,0.45476904158,26022.0,25638.0,8.0,1.0,1.0,,,1.0,17.0,3.0,13.0,9.0,1.0,1.0,1.0,10.0,,4.0,2.0,1.0,13.0,43.0,8.0,121.0,3.0,123.0,serbs,30460.0,31839.0,35512.0,36754.0,36356.0,0.857529153287,0.40261852807,0.985243255707,37.4517087667
26,70068.0,2012.0,0.0,37100.0,0.0,0.0,0.0,21330.0,0.0,0.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,28050.0,0.0,45760.0,0.0,98320.0,0.0,543700.0,1262450.0,0.0,1796970.0,0.0,0.0,233080.0,2664610.0,0.0,0.0,1071840.0,2770.0,1781190.0,25060.0,17910.0,333.0,35512.0,5.0,Bajina Basta,normal,673.0,25205.0,26022.0,11834.0,10148.0,1686.0,1119.0,567.0,14188.0,2042.0,2603.0,0.45476904158,26022.0,25638.0,8.0,1.0,1.0,,,1.0,17.0,3.0,13.0,9.0,1.0,1.0,1.0,10.0,,4.0,2.0,1.0,13.0,43.0,8.0,121.0,3.0,123.0,serbs,30460.0,31839.0,35512.0,36754.0,36356.0,0.857529153287,0.40261852807,0.985243255707,37.4517087667
27,70068.0,2013.0,200000.0,0.0,0.0,0.0,0.0,1530.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,2760.0,0.0,23990.0,0.0,22470.0,260.0,52760.0,0.0,440210.0,1206860.0,0.0,284810.0,0.0,0.0,299850.0,2441900.0,0.0,20.0,971420.0,20330.0,2070730.0,25600.0,42250.0,334.0,36754.0,5.0,Bajina Basta,normal,673.0,25205.0,26022.0,11834.0,10148.0,1686.0,1119.0,567.0,14188.0,2042.0,2603.0,0.45476904158,26022.0,25638.0,8.0,1.0,1.0,,,1.0,17.0,3.0,13.0,9.0,1.0,1.0,1.0,10.0,,4.0,2.0,1.0,13.0,43.0,8.0,121.0,3.0,123.0,serbs,30460.0,31839.0,35512.0,36754.0,36356.0,0.857529153287,0.40261852807,0.985243255707,37.4517087667
28,70068.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0,30460.0,5.0,Bajina Basta,normal,673.0,25205.0,26022.0,11834.0,10148.0,1686.0,1119.0,567.0,14188.0,2042.0,2603.0,0.45476904158,26022.0,25638.0,8.0,1.0,1.0,,,1.0,17.0,3.0,13.0,9.0,1.0,1.0,1.0,10.0,,4.0,2.0,1.0,13.0,43.0,8.0,121.0,3.0,123.0,serbs,30460.0,31839.0,35512.0,36754.0,36356.0,0.857529153287,0.40261852807,0.985243255707,37.4517087667
29,70068.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,36356.0,5.0,Bajina Basta,normal,673.0,25205.0,26022.0,11834.0,10148.0,1686.0,1119.0,567.0,14188.0,2042.0,2603.0,0.45476904158,26022.0,25638.0,8.0,1.0,1.0,,,1.0,17.0,3.0,13.0,9.0,1.0,1.0,1.0,10.0,,4.0,2.0,1.0,13.0,43.0,8.0,121.0,3.0,123.0,serbs,30460.0,31839.0,35512.0,36754.0,36356.0,0.857529153287,0.40261852807,0.985243255707,37.4517087667
30,70076.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40870.0,0.0,35710.0,0.0,11810.0,0.0,18720.0,0.0,106190.0,440010.0,0.0,81950.0,0.0,0.0,85430.0,661240.0,0.0,0.0,124390.0,0.0,1099320.0,0.0,0.0,557.0,27127.0,6.0,Batocina,normal,136.0,11427.0,11760.0,4235.0,3054.0,1181.0,744.0,437.0,7525.0,803.0,1538.0,0.360119047619,11760.0,11514.0,7.0,,1.0,,,,9.0,1.0,27.0,2.0,2.0,55.0,2.0,3.0,,3.0,,,6.0,18.0,9.0,74.0,3.0,24.0,serbs,24930.0,27127.0,28759.0,28732.0,29604.0,0.721133412043,0.26726174849,0.979081632653,84.0220588235
31,70076.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82070.0,0.0,43580.0,0.0,15820.0,0.0,31990.0,0.0,125970.0,450380.0,0.0,61460.0,0.0,0.0,80120.0,1099120.0,10.0,0.0,134720.0,0.0,1597360.0,600.0,0.0,558.0,28759.0,6.0,Batocina,normal,136.0,11427.0,11760.0,4235.0,3054.0,1181.0,744.0,437.0,7525.0,803.0,1538.0,0.360119047619,11760.0,11514.0,7.0,,1.0,,,,9.0,1.0,27.0,2.0,2.0,55.0,2.0,3.0,,3.0,,,6.0,18.0,9.0,74.0,3.0,24.0,serbs,24930.0,27127.0,28759.0,28732.0,29604.0,0.721133412043,0.26726174849,0.979081632653,84.0220588235
32,70076.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65180.0,0.0,0.0,0.0,0.0,0.0,16910.0,0.0,35480.0,0.0,8630.0,0.0,24500.0,0.0,88990.0,465150.0,0.0,113660.0,0.0,0.0,84810.0,1049640.0,0.0,0.0,163790.0,0.0,1248670.0,0.0,0.0,559.0,28732.0,6.0,Batocina,normal,136.0,11427.0,11760.0,4235.0,3054.0,1181.0,744.0,437.0,7525.0,803.0,1538.0,0.360119047619,11760.0,11514.0,7.0,,1.0,,,,9.0,1.0,27.0,2.0,2.0,55.0,2.0,3.0,,3.0,,,6.0,18.0,9.0,74.0,3.0,24.0,serbs,24930.0,27127.0,28759.0,28732.0,29604.0,0.721133412043,0.26726174849,0.979081632653,84.0220588235
33,70076.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,24930.0,6.0,Batocina,normal,136.0,11427.0,11760.0,4235.0,3054.0,1181.0,744.0,437.0,7525.0,803.0,1538.0,0.360119047619,11760.0,11514.0,7.0,,1.0,,,,9.0,1.0,27.0,2.0,2.0,55.0,2.0,3.0,,3.0,,,6.0,18.0,9.0,74.0,3.0,24.0,serbs,24930.0,27127.0,28759.0,28732.0,29604.0,0.721133412043,0.26726174849,0.979081632653,84.0220588235
34,70076.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,29604.0,6.0,Batocina,normal,136.0,11427.0,11760.0,4235.0,3054.0,1181.0,744.0,437.0,7525.0,803.0,1538.0,0.360119047619,11760.0,11514.0,7.0,,1.0,,,,9.0,1.0,27.0,2.0,2.0,55.0,2.0,3.0,,3.0,,,6.0,18.0,9.0,74.0,3.0,24.0,serbs,24930.0,27127.0,28759.0,28732.0,29604.0,0.721133412043,0.26726174849,0.979081632653,84.0220588235
35,70084.0,2011.0,256390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58520.0,0.0,6820.0,0.0,3990.0,0.0,66540.0,0.0,25080.0,30140.0,0.0,16380.0,0.0,0.0,45590.0,544020.0,0.0,0.0,67650.0,0.0,1476210.0,1620.0,0.0,770.0,22008.0,7.0,Bela Palanka,normal,517.0,11559.0,12126.0,4296.0,2639.0,1657.0,994.0,663.0,7830.0,764.0,1161.0,0.354280059377,12126.0,10395.0,,,8.0,,,4.0,5.0,4.0,8.0,10.0,2.0,1418.0,,5.0,,1.0,,,4.0,5.0,8.0,144.0,,105.0,serbs,19677.0,22008.0,24359.0,26875.0,27594.0,0.614292364991,0.228306946968,0.85724888669,22.3578336557
36,70084.0,2012.0,9780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,156180.0,0.0,8110.0,0.0,16630.0,0.0,50140.0,0.0,31680.0,112600.0,0.0,24660.0,0.0,0.0,67660.0,931530.0,0.0,90.0,90760.0,0.0,2921120.0,770.0,0.0,771.0,24359.0,7.0,Bela Palanka,normal,517.0,11559.0,12126.0,4296.0,2639.0,1657.0,994.0,663.0,7830.0,764.0,1161.0,0.354280059377,12126.0,10395.0,,,8.0,,,4.0,5.0,4.0,8.0,10.0,2.0,1418.0,,5.0,,1.0,,,4.0,5.0,8.0,144.0,,105.0,serbs,19677.0,22008.0,24359.0,26875.0,27594.0,0.614292364991,0.228306946968,0.85724888669,22.3578336557
37,70084.0,2013.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173690.0,0.0,9760.0,0.0,26410.0,0.0,69000.0,0.0,28410.0,129390.0,0.0,27110.0,0.0,0.0,95400.0,1279610.0,0.0,130.0,75980.0,0.0,2572840.0,0.0,0.0,772.0,26875.0,7.0,Bela Palanka,normal,517.0,11559.0,12126.0,4296.0,2639.0,1657.0,994.0,663.0,7830.0,764.0,1161.0,0.354280059377,12126.0,10395.0,,,8.0,,,4.0,5.0,4.0,8.0,10.0,2.0,1418.0,,5.0,,1.0,,,4.0,5.0,8.0,144.0,,105.0,serbs,19677.0,22008.0,24359.0,26875.0,27594.0,0.614292364991,0.228306946968,0.85724888669,22.3578336557
38,70084.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.0,19677.0,7.0,Bela Palanka,normal,517.0,11559.0,12126.0,4296.0,2639.0,1657.0,994.0,663.0,7830.0,764.0,1161.0,0.354280059377,12126.0,10395.0,,,8.0,,,4.0,5.0,4.0,8.0,10.0,2.0,1418.0,,5.0,,1.0,,,4.0,5.0,8.0,144.0,,105.0,serbs,19677.0,22008.0,24359.0,26875.0,27594.0,0.614292364991,0.228306946968,0.85724888669,22.3578336557
39,70084.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.0,27594.0,7.0,Bela Palanka,normal,517.0,11559.0,12126.0,4296.0,2639.0,1657.0,994.0,663.0,7830.0,764.0,1161.0,0.354280059377,12126.0,10395.0,,,8.0,,,4.0,5.0,4.0,8.0,10.0,2.0,1418.0,,5.0,,1.0,,,4.0,5.0,8.0,144.0,,105.0,serbs,19677.0,22008.0,24359.0,26875.0,27594.0,0.614292364991,0.228306946968,0.85724888669,22.3578336557
40,70262.0,2011.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25530.0,0.0,6100.0,3290.0,22780.0,0.0,47610.0,63190.0,0.0,124150.0,0.0,0.0,51160.0,694410.0,0.0,0.0,117860.0,34380.0,941180.0,20930.0,0.0,841.0,27326.0,24.0,Blace,normal,306.0,11212.0,11754.0,4098.0,2881.0,1217.0,729.0,488.0,7656.0,906.0,954.0,0.348647269015,11754.0,11551.0,,,1.0,,,,7.0,4.0,6.0,8.0,,86.0,,2.0,,,,1.0,3.0,11.0,7.0,36.0,2.0,29.0,serbs,23744.0,27326.0,30140.0,31198.0,30818.0,0.703025866276,0.256956831966,0.982729283648,36.6405228758
41,70262.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.0,0.0,30850.0,0.0,16750.0,3360.0,42130.0,0.0,56730.0,89060.0,0.0,99620.0,0.0,0.0,57270.0,990450.0,0.0,0.0,105410.0,31100.0,1816230.0,950.0,0.0,842.0,30140.0,24.0,Blace,normal,306.0,11212.0,11754.0,4098.0,2881.0,1217.0,729.0,488.0,7656.0,906.0,954.0,0.348647269015,11754.0,11551.0,,,1.0,,,,7.0,4.0,6.0,8.0,,86.0,,2.0,,,,1.0,3.0,11.0,7.0,36.0,2.0,29.0,serbs,23744.0,27326.0,30140.0,31198.0,30818.0,0.703025866276,0.256956831966,0.982729283648,36.6405228758
42,70262.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33370.0,0.0,5690.0,2200.0,40010.0,0.0,45780.0,103640.0,0.0,119020.0,0.0,0.0,28010.0,864640.0,0.0,30.0,95400.0,33470.0,1798090.0,23190.0,0.0,843.0,31198.0,24.0,Blace,normal,306.0,11212.0,11754.0,4098.0,2881.0,1217.0,729.0,488.0,7656.0,906.0,954.0,0.348647269015,11754.0,11551.0,,,1.0,,,,7.0,4.0,6.0,8.0,,86.0,,2.0,,,,1.0,3.0,11.0,7.0,36.0,2.0,29.0,serbs,23744.0,27326.0,30140.0,31198.0,30818.0,0.703025866276,0.256956831966,0.982729283648,36.6405228758
43,70262.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,23744.0,24.0,Blace,normal,306.0,11212.0,11754.0,4098.0,2881.0,1217.0,729.0,488.0,7656.0,906.0,954.0,0.348647269015,11754.0,11551.0,,,1.0,,,,7.0,4.0,6.0,8.0,,86.0,,2.0,,,,1.0,3.0,11.0,7.0,36.0,2.0,29.0,serbs,23744.0,27326.0,30140.0,31198.0,30818.0,0.703025866276,0.256956831966,0.982729283648,36.6405228758
44,70262.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.0,30818.0,24.0,Blace,normal,306.0,11212.0,11754.0,4098.0,2881.0,1217.0,729.0,488.0,7656.0,906.0,954.0,0.348647269015,11754.0,11551.0,,,1.0,,,,7.0,4.0,6.0,8.0,,86.0,,2.0,,,,1.0,3.0,11.0,7.0,36.0,2.0,29.0,serbs,23744.0,27326.0,30140.0,31198.0,30818.0,0.703025866276,0.256956831966,0.982729283648,36.6405228758
45,70289.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16590.0,0.0,16550.0,0.0,2090.0,0.0,23400.0,41490.0,119490.0,60650.0,0.0,0.0,95000.0,392220.0,0.0,0.0,82700.0,0.0,1144430.0,1290.0,0.0,407.0,27404.0,25.0,Bogatic,normal,384.0,27881.0,28883.0,11858.0,10634.0,1224.0,593.0,631.0,17025.0,1955.0,4094.0,0.410552920403,28883.0,27517.0,3.0,,5.0,,,,27.0,7.0,11.0,18.0,2.0,514.0,4.0,3.0,1.0,4.0,3.0,11.0,33.0,7.0,14.0,322.0,7.0,370.0,serbs,24458.0,27404.0,30596.0,33330.0,33456.0,0.896778546129,0.38140669273,0.952705743863,72.6067708333
46,70289.0,2012.0,259620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39540.0,0.0,19200.0,14480.0,28420.0,0.0,75870.0,222220.0,104420.0,165260.0,0.0,0.0,193100.0,1550440.0,0.0,10.0,328220.0,2370.0,3138450.0,297800.0,0.0,408.0,30596.0,25.0,Bogatic,normal,384.0,27881.0,28883.0,11858.0,10634.0,1224.0,593.0,631.0,17025.0,1955.0,4094.0,0.410552920403,28883.0,27517.0,3.0,,5.0,,,,27.0,7.0,11.0,18.0,2.0,514.0,4.0,3.0,1.0,4.0,3.0,11.0,33.0,7.0,14.0,322.0,7.0,370.0,serbs,24458.0,27404.0,30596.0,33330.0,33456.0,0.896778546129,0.38140669273,0.952705743863,72.6067708333
