mun_id,year,plan,actual,budget_data,income_value,income_data,transfers,debt
70360,2011,18666395.4,17449400.2,1.0,21282690.0,1.0,3606320.0,0.0
70360,2012,23177219.1,21879332.9,1.0,26802390.0,1.0,6967000.0,0.0
70360,2013,24212574.9,21738727.0,1.0,23461720.0,1.0,5237920.0,97040.0
70360,2014,24715700.8,22547853.8,1.0,,,,
70360,2015,24494620.2,,1.0,,,,
70378,2011,,,,2642480.0,1.0,1490010.0,0.0
70378,2012,7158140.0,6525287.0,1.0,3873950.0,1.0,2409910.0,0.0
70378,2013,4679999.9,3849981.2,1.0,3844040.0,1.0,2628800.0,0.0
70378,2014,4500000.2,3771618.5,1.0,,,,
70378,2015,4435000.2,,1.0,,,,
70386,2011,,,,6958260.0,1.0,2280780.0,50.0
70386,2012,,,,9267910.0,1.0,3494460.0,0.0
70386,2013,,,,8804960.0,1.0,3630770.0,0.0
70394,2011,3368098.3,2939502.2,1.0,4035710.0,1.0,1357070.0,10000.0
70394,2012,6432514.1,4506370.0,1.0,5063010.0,1.0,2175820.0,0.0
70394,2013,5303352.1,4653333.9,1.0,5201810.0,1.0,2351910.0,0.0
70394,2014,3032342.0,2840634.6,1.0,,,,
70394,2015,5316525.7,,1.0,,,,
70408,2011,,,,1342160.0,1.0,0.0,0.0
70408,2012,,,,1393670.0,1.0,0.0,0.0
70408,2013,,,,3793880.0,1.0,2109030.0,0.0
70416,2011,3711436.9,3243900.7,1.0,3896500.0,1.0,0.0,400000.0
70416,2012,6009999.9,5612250.2,1.0,5985870.0,1.0,0.0,0.0
70416,2013,6476632.7,5610463.8,1.0,5511110.0,1.0,3060870.0,0.0
70416,2014,6106760.1,5317664.5,1.0,,,,
70416,2015,5607600.0,,1.0,,,,
70424,2011,,,,4536760.0,1.0,2305810.0,60000.0
70424,2012,,,,6545350.0,1.0,3485320.0,30000.0
70424,2013,,,,6348990.0,1.0,3431120.0,233960.0
70459,2011,9486152.1,5181747.4,1.0,6616120.0,1.0,756140.0,428940.0
70459,2012,6557871.6,5799746.9,1.0,7975250.0,1.0,1670330.0,475000.0
70459,2013,9119500.7,7923804.3,1.0,9226470.0,1.0,1735560.0,1395200.0
70459,2014,8343120.5,6709097.4,1.0,,,,
70459,2015,8945080.0,,1.0,,,,
70467,2011,3120400.0,2331740.0,1.0,2002790.0,1.0,1030080.0,0.0
70467,2012,4226720.0,3004160.0,1.0,3027400.0,1.0,2119530.0,0.0
70467,2013,4332100.0,2519460.0,1.0,2619480.0,1.0,1670910.0,0.0
70467,2014,4952470.0,2589750.0,1.0,,,,
70467,2015,4736310.0,,1.0,,,,
70475,2011,2589480.0,2007750.0,1.0,1814650.0,1.0,942540.0,0.0
70475,2012,2716750.0,2530600.0,1.0,2666220.0,1.0,1703400.0,0.0
70475,2013,3078210.0,2501400.0,1.0,2833350.0,1.0,1855070.0,0.0
70475,2014,3623610.0,2736070.0,1.0,,,,
70475,2015,3132510.0,,1.0,,,,
70483,2011,9541900.0,9282980.0,1.0,10504870.0,1.0,1858300.0,170010.0
70483,2012,11817600.0,10586070.0,1.0,12805570.0,1.0,2335850.0,0.0
70483,2013,13824480.0,10731090.0,1.0,12931430.0,1.0,2847820.0,0.0
70483,2014,15934000.0,11387970.0,1.0,,,,
70483,2015,14622420.0,,1.0,,,,
70491,2011,5819386.9,5072825.9,1.0,5765420.0,1.0,2176030.0,300000.0
70491,2012,6823405.5,6503624.7,1.0,6482230.0,1.0,2486790.0,0.0
70491,2013,6977150.7,6289859.9,1.0,6678340.0,1.0,2880850.0,0.0
70491,2014,7356035.6,6079011.3,1.0,,,,
70491,2015,6824998.4,,1.0,,,,
70505,2011,,,,4015150.0,1.0,892950.0,0.0
