mun_id,norm_percent_change12_13,ingov12,ingov13,gov_change12_13,mun
80276,-9.70752593589,1.0,0.0,4stopped being aligned12_13,Novi Knezevac
80080,-9.80370400258,1.0,0.0,4stopped being aligned12_13,Backi Petrovac
80144,-10.8932669922,1.0,1.0,2aligned both years12_13,zitiste
71196,-11.2986456948,1.0,0.0,4stopped being aligned12_13,cicevac
70548,-11.5661931127,1.0,0.0,4stopped being aligned12_13,zitoradja
70866,-11.6061043804,1.0,1.0,2aligned both years12_13,Nova Varos
70084,-11.9228241223,1.0,0.0,4stopped being aligned12_13,Bela Palanka
80497,-12.6235091207,1.0,1.0,2aligned both years12_13,sid
70653,-15.3182309697,1.0,1.0,2aligned both years12_13,Kraljevo
80152,-15.6508882836,1.0,1.0,2aligned both years12_13,Zrenjanin
80381,-16.0376036163,1.0,0.0,4stopped being aligned12_13, Sombor
70777,-18.0223001912,1.0,1.0,2aligned both years12_13,Ljubovija
70467,-21.1660132199,1.0,1.0,2aligned both years12_13,Gadzin Han
71145,-21.644121623,1.0,1.0,2aligned both years12_13,Uzice
70076,-21.8291430861,1.0,0.0,4stopped being aligned12_13,Batocina
70033,-22.4279329258,1.0,1.0,2aligned both years12_13,Arandjelovac
70360,-24.8181426726,1.0,1.0,2aligned both years12_13,Valjevo
80187,-28.3807720647,1.0,0.0,4stopped being aligned12_13,Irig
80179,-30.4919989676,1.0,0.0,4stopped being aligned12_13,Indjija
71048,-34.8795449749,1.0,1.0,2aligned both years12_13,Jagodina
70629,-37.5029559679,1.0,1.0,2aligned both years12_13,Kosjeric
80322,-51.2065500095,1.0,1.0,2aligned both years12_13,Pecinci
70564,-52.6044981965,0.0,0.0,3unaligned both years12_13,Ivanjica
70297,-100.0,1.0,1.0,2aligned both years12_13,Bojnik
