,mun_id,place_id,zip_id
935,70360,708364,14201
938,70360,708402,14000
949,70360,708526,14222
950,70360,708534,14204
953,70360,708577,14203
963,70360,708674,14252
970,70360,708763,14205
982,70360,708895,14221
984,70360,708917,14251
1005,70700,723096,14225
1008,70700,723002,14226
1009,70700,723029,14224
1019,70700,723134,14223
1026,70769,726192,14246
1042,70769,726362,14240
1047,70769,726435,14245
1053,70831,728080,14244
1070,70831,728268,14242
1079,70831,728365,14202
1096,70882,731161,14254
1100,70882,731200,14253
1103,70882,731234,14207
1110,71218,744506,14214
1112,71218,744522,14212
1132,71218,744751,14213
1133,71218,744760,14211
1144,71218,744883,14210
1149,70386,709344,11320
1150,70386,709352,11323
1152,70386,709387,11319
1154,70386,709409,11317
1155,70386,709417,11325
1156,70386,709425,11318
1160,70386,709468,11324
1165,71099,740284,11328
1166,71099,740292,11329
1170,71099,740349,11432
1171,71099,740357,11431
1174,71099,740373,11310
1175,71099,740381,11321
1177,71099,740403,11313
1179,71099,740420,11312
1180,71099,740438,11314
1182,71099,740454,11311
1184,71099,740489,11315
1186,71099,740519,11322
1187,71099,740527,11300
1192,71102,740560,11423
1199,71102,740632,11316
1201,71102,740667,11425
1205,71102,740705,11411
1206,71102,740713,11407
1207,71102,740721,11420
1212,70394,709492,12220
1224,70394,709620,12221
1232,70394,709727,12253
1233,70394,709735,12226
1240,70475,712884,12222
1244,70475,712922,12223
1246,70475,712957,12224
1250,70475,712990,12258
1263,70521,714828,12370
1267,70521,714879,12374
1272,70521,714925,12375
1281,70530,715000,12318
1282,70530,715018,12320
1285,70530,715042,12316
1287,70530,715077,12321
1292,70530,715123,12317
1302,70696,722723,12256
1304,70696,722740,12255
1308,70696,722782,12240
1313,70696,722855,12242
1314,70696,722863,12254
1320,70696,722928,12257
1327,70807,727083,12313
1337,70807,727199,12311
1339,70807,727229,12312
1347,70912,731706,12307
1351,70912,731757,12306
1367,70912,731935,12308
1370,70912,731960,12300
1371,70912,731978,12304
1372,70912,731986,12315
1378,70912,732044,12309
1380,70947,732869,12227
1383,70947,732893,12206
1389,70947,732958,12207
1393,70947,733008,12209
1394,71340,733016,12208
1400,70947,733083,12000
1401,70947,733091,12372
1408,70033,701408,34300
1409,70033,701416,34304
1412,70033,701459,34301
1413,70033,701467,34306
1418,70033,701513,34309
1421,70033,701548,34308
1422,70033,701556,34305
1424,70033,701572,34302
1425,70033,701599,34307
1428,70076,702838,34226
1429,70076,702846,34227
1430,70076,702854,34228
1433,70076,702897,34229
1435,70076,702943,34222
1442,70599,716774,34205
1452,70599,716898,34230
1453,70599,716901,34232
1458,70599,716952,34244
1461,70599,716995,34240
1474,70599,717134,34243
1480,70645,718637,34217
1487,70645,718700,34206
1491,70645,718742,34202
1492,70645,718769,34321
1493,70645,718777,34204
1498,70645,718823,34231
1503,70645,718874,34207
1507,70645,718963,34224
1509,70645,718980,34000
1511,70645,719005,34325
1515,70645,719056,34209
1524,70645,719170,34225
1526,70645,719200,34323
1532,70645,719285,34322
1533,70645,719293,34219
1535,71277,702927,34220
1547,71013,736775,34215
1548,71013,736783,34212
1552,71013,736813,34210
1555,71013,736848,34213
1558,71153,741914,34312
1563,71153,741973,34324
1569,71153,742031,34314
1572,71153,742066,34318
1580,71153,742163,34313
1586,71153,742228,34310
1596,70491,713872,35223
1601,70491,713937,35213
1604,70491,713970,35241
1610,70491,714038,35224
1613,70491,714062,35212
1616,70491,714119,35237
1617,70491,714127,35237
1618,70491,714135,35234
1620,70491,714151,35215
1624,71048,737909,35204
1628,71048,737941,35273
1633,71048,737992,24161
1634,71048,738000,35222
1641,71048,738085,35272
1642,71048,738093,35262
1644,71048,738115,35218
1646,71048,738352,35000
1650,71048,738166,35242
