,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
47,2012-04-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
48,2012-05-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
49,2012-06-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
50,2012-07-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
51,2012-08-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
52,2008-07-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
53,2008-08-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
54,2008-09-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
55,2008-10-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
56,2008-11-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
57,2008-12-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
58,2009-01-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
59,2009-02-28,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
60,2009-03-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
61,2009-04-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
62,2009-05-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
63,2009-06-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
64,2009-07-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
