,mun_id,mun,mun_type,area_km2,pop_total,total,active_total,active_employed,active_unemployed,active_unemp_former,active_unemp_firstjob,inactive_total,inactive_students,inactive_houshold,labor_pariticpation_rate,total_nat,serbs,albanians,bosnians,bulgarians,bunjevci,vlasi,goranci,yugoslavs,hungarians,macedonians,muslims,germans,roma,romanians,russians,rusini,slovaks,slovenians,ukranians,croats,montenegrins,rest,undeclared,regional_assoc,unkown,majority_nationality,wage_2010,wage_2011,wage_2012,wage_2013,wage_2014,employment_rate,employment_per_pop,share_serbian,pop_density
36,70394,Veliko Gradiste,normal,344.0,16948.0,17610.0,6407.0,5645.0,762.0,508.0,254.0,11203.0,1144.0,1967.0,0.363827370812,17610.0,16291.0,,,2.0,,382.0,,15.0,14.0,20.0,7.0,1.0,258.0,65.0,3.0,1.0,2.0,5.0,1.0,14.0,18.0,29.0,143.0,7.0,332.0,serbs,21454.0,24271.0,27875.0,32196.0,32641.0,0.881067582332,0.33307764928,0.925099375355,49.2674418605
37,70408,Vladimirci,normal,338.0,16782.0,17462.0,7383.0,6526.0,857.0,441.0,416.0,10079.0,949.0,2223.0,0.422803802543,17462.0,16799.0,1.0,,1.0,12.0,,,7.0,4.0,7.0,4.0,1.0,181.0,14.0,2.0,,7.0,1.0,3.0,20.0,11.0,49.0,35.0,5.0,298.0,serbs,22633.0,26599.0,30934.0,30401.0,28819.0,0.883922524719,0.388869026338,0.962031840568,49.650887574
38,70416,Vladicin Han,normal,366.0,20012.0,20871.0,8515.0,4415.0,4100.0,2234.0,1866.0,12356.0,1472.0,2261.0,0.407982367879,20871.0,18644.0,,1.0,88.0,,,,7.0,4.0,23.0,2.0,3.0,1503.0,,10.0,,1.0,3.0,3.0,5.0,5.0,7.0,251.0,1.0,310.0,serbs,16332.0,24563.0,27703.0,29984.0,30123.0,0.518496770405,0.220617629422,0.89329691917,54.6775956284
39,70424,Vlasotince,normal,308.0,28948.0,29893.0,14821.0,11588.0,3233.0,1575.0,1658.0,15072.0,2350.0,2557.0,0.495801692704,29893.0,28613.0,,,4.0,,1.0,,3.0,3.0,23.0,3.0,,691.0,10.0,2.0,,2.0,2.0,1.0,11.0,14.0,15.0,344.0,,151.0,serbs,22061.0,24336.0,27010.0,28687.0,28949.0,0.781863571959,0.400303993367,0.957180610845,93.987012987
40,70432,Vranje,normal,602.0,73200.0,73944.0,31454.0,22822.0,8632.0,4570.0,4062.0,42490.0,6964.0,4757.0,0.425375960186,73944.0,68483.0,12.0,4.0,558.0,1.0,,43.0,16.0,6.0,240.0,17.0,1.0,3279.0,2.0,9.0,1.0,7.0,8.0,2.0,29.0,46.0,41.0,702.0,7.0,430.0,serbs,,,33223.0,33999.0,30960.0,0.72556749539,0.311775956284,0.926146813805,121.594684385
41,70459,Vrnjacka Banja,normal,239.0,26948.0,27527.0,10482.0,7718.0,2764.0,1762.0,1002.0,17045.0,2339.0,2581.0,0.380789770044,27527.0,26482.0,1.0,,16.0,,2.0,,30.0,17.0,33.0,9.0,5.0,334.0,4.0,7.0,1.0,6.0,5.0,5.0,24.0,107.0,37.0,167.0,10.0,225.0,serbs,24681.0,26884.0,31333.0,33711.0,33338.0,0.73630986453,0.286403443669,0.962037272496,112.753138075
42,70467,Gadzin Han,normal,325.0,7767.0,8389.0,2994.0,2160.0,834.0,546.0,288.0,5395.0,315.0,828.0,0.356895935153,8389.0,7972.0,,,3.0,,,,2.0,,3.0,1.0,,260.0,,3.0,1.0,,1.0,1.0,4.0,3.0,,100.0,,35.0,serbs,18894.0,21568.0,29060.0,28744.0,28534.0,0.721442885772,0.278099652375,0.950292049112,23.8984615385
43,70475,Golubac,normal,367.0,7940.0,8331.0,2777.0,2265.0,512.0,331.0,181.0,5554.0,517.0,975.0,0.333333333333,8331.0,7576.0,,4.0,3.0,,424.0,,13.0,5.0,7.0,3.0,,52.0,47.0,1.0,,,2.0,3.0,6.0,9.0,39.0,65.0,1.0,71.0,serbs,23346.0,23853.0,28369.0,29904.0,26956.0,0.815628375945,0.285264483627,0.909374624895,21.6348773842
44,70483,Gornji Milanovac,normal,836.0,43140.0,44406.0,20479.0,17337.0,3142.0,2155.0,987.0,23927.0,3432.0,2688.0,0.461176417601,44406.0,43453.0,6.0,6.0,5.0,,,3.0,31.0,8.0,49.0,14.0,5.0,178.0,4.0,3.0,1.0,3.0,9.0,4.0,34.0,81.0,30.0,255.0,27.0,197.0,serbs,28679.0,31560.0,34352.0,38975.0,38356.0,0.846574539772,0.401877607789,0.97853893618,51.6028708134
45,70491,Despotovac,normal,623.0,22094.0,23191.0,7536.0,6195.0,1341.0,582.0,759.0,15655.0,1466.0,2856.0,0.324953645811,23191.0,21602.0,18.0,8.0,14.0,,687.0,,16.0,6.0,21.0,21.0,4.0,244.0,38.0,5.0,,1.0,7.0,1.0,20.0,21.0,18.0,336.0,3.0,100.0,serbs,31754.0,33398.0,37112.0,39819.0,39979.0,0.822054140127,0.280392866842,0.931482040447,35.4638844302
