,mun_id,mun,year,income_value,l6,l2,l3,l4,l2_name_english,l3_name_english,l4_name_english,l6_name_english
70,70335,Bosilegrad,2011,368280.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
71,70335,Bosilegrad,2013,635620.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
72,70343,Brus,2011,891970.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
73,70343,Brus,2012,1311680.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
74,70343,Brus,2013,1217240.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
75,70351,Bujanovac,2012,2596920.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
76,70351,Bujanovac,2011,1625740.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
77,70351,Bujanovac,2013,2531620.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
78,71242,cacak,2011,10052250.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
79,71242,cacak,2012,14955710.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
80,71242,cacak,2013,15040830.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
81,71234,cajetina,2012,1749730.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
82,71234,cajetina,2011,1117350.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
83,71234,cajetina,2013,1702700.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
84,71196,Ci?evac,2011,456320.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
85,71196,Ci?evac,2012,764650.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
86,71196,Ci?evac,2013,741300.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
87,80489,coka,2011,897040.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
88,80489,coka,2012,1326360.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
89,80489,coka,2013,1220660.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
90,71226,Crna Trava,2011,116810.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
91,71226,Crna Trava,2012,174490.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
92,71226,Crna Trava,2013,152300.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
93,71200,Cuprija,2012,3099120.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
94,71200,Cuprija,2011,1978210.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
95,71200,Cuprija,2013,2829630.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
96,70491,Despotovac,2011,1069420.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
97,70491,Despotovac,2012,1951170.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
98,70491,Despotovac,2013,2352850.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
99,70505,Dimitrovgrad,2012,1185080.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
100,70505,Dimitrovgrad,2011,790680.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
101,70505,Dimitrovgrad,2013,952330.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
102,70513,Doljevac,2011,758050.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
103,70513,Doljevac,2012,1225520.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
104,70513,Doljevac,2013,1155980.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
105,70467,Gadzin Han,2012,538810.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
106,70467,Gadzin Han,2011,370990.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
107,70467,Gadzin Han,2013,544610.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
108,70475,Golubac,2011,381890.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
109,70475,Golubac,2012,548580.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
110,70475,Golubac,2013,532400.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
111,70483,Gornji Milanovac,2012,5928020.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
112,70483,Gornji Milanovac,2011,3808170.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
113,70483,Gornji Milanovac,2013,5874340.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
114,79014,Grad Beograd,2011,288926090.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
115,79014,Grad Beograd,2012,417921210.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
116,79014,Grad Beograd,2013,398303320.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
117,79022,Grad Nis,2012,43529490.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
118,79022,Grad Nis,2011,28689280.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
119,79022,Grad Nis,2013,41087920.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
120,89010,Grad Novi Sad,2011,53043570.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
121,89010,Grad Novi Sad,2012,81871980.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
122,89010,Grad Novi Sad,2013,78993810.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
123,79049,Grad Pozarevac,2011,9373260.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
124,79049,Grad Pozarevac,2012,14907370.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
125,79049,Grad Pozarevac,2013,13808740.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
126,79057,Grad Vranje,2011,6285580.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
127,79057,Grad Vranje,2013,9860480.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
128,79057,Grad Vranje,2012,10019190.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
129,80179,Indjija,2011,4094250.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
130,80179,Indjija,2012,6227780.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
131,80179,Indjija,2013,6146780.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
132,80187,Irig,2011,614740.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
133,80187,Irig,2012,977930.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
134,80187,Irig,2013,989840.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
135,70564,Ivanjica,2011,73410.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
136,70564,Ivanjica,2012,47920.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
137,70564,Ivanjica,2013,55960.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
138,71048,Jagodina,2011,5402790.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
139,71048,Jagodina,2012,9602430.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
140,71048,Jagodina,2013,9204500.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
141,80195,Kanjiza,2011,2414780.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
142,80195,Kanjiza,2012,3409260.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
143,80195,Kanjiza,2013,2776220.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
144,80209,Kikinda,2011,5885590.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
145,80209,Kikinda,2012,9092180.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
146,80209,Kikinda,2013,8293530.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
147,70572,Kladovo,2011,1785300.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
148,70572,Kladovo,2012,2766450.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
149,70572,Kladovo,2013,2565440.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
150,70599,Kni?,2012,754790.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
151,70599,Kni?,2011,508060.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
152,70599,Kni?,2013,752220.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
153,70602,Knjazevac,2011,1610010.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
154,70602,Knjazevac,2012,2546760.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
155,70602,Knjazevac,2013,2431250.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
156,70637,Koceljeva,2012,894250.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
157,70637,Koceljeva,2011,591660.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
158,70637,Koceljeva,2013,860490.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
159,70629,Kosjeri?,2011,862970.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
160,70629,Kosjeri?,2012,1352590.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
161,70629,Kosjeri?,2013,1142830.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
162,80217,Kovacica,2011,1302760.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
163,80217,Kovacica,2012,1942610.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
