mun_id,year, domestic borrowing, foreign borrowing, sale forest and water, sale of domestic financial assets, sale of foreign financial assets, sale of goods for resale, sale of inventories, sale of land, sale of other fixed assets , sale of stockpiles, sale of valuables, sale underground valuables,Donations from foreign governments,Donations from international organizations,Excises,"Fines, penalties and forfeits",Income from sale of movable property,Memorandum items for expenditures refund ,Memorandum items for expenditures refund from the previous year,Mixed and indefinite income,Other social contributions,Other taxes,Property income,Revenue from the budget,Sales of goods and services,Single tax on exra profit and extra assets acquired using special benefits,Social security contributions,Taxes on goods and services,"Taxes on income, profits and capital gains ",Taxes on international trade and transactions,Taxes on payroll and workforce,Taxes on property,Transfers between budget users at the same level,Transfers from other level of government,Voluntary transfers other than grants,proceeds from the real estate sales
70513,2013,0.0,0.0,0.0,0.0,0.0,4370.0,0.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12050.0,0.0,13470.0,6690.0,185830.0,0.0,81450.0,227710.0,66990.0,21540.0,0.0,0.0,59320.0,1155980.0,0.0,50.0,75310.0,0.0,2098760.0,18370.0,0.0
70521,2011,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9170.0,0.0,13180.0,0.0,3680.0,0.0,38650.0,42890.0,0.0,191800.0,0.0,0.0,108090.0,305630.0,0.0,0.0,114170.0,3040.0,1144950.0,43850.0,80.0
70521,2012,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15350.0,0.0,3160.0,0.0,6590.0,0.0,41380.0,38490.0,0.0,26730.0,0.0,0.0,77670.0,449290.0,0.0,180.0,105520.0,0.0,1869630.0,0.0,0.0
70521,2013,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23420.0,0.0,530.0,0.0,76380.0,0.0,29940.0,42750.0,0.0,214230.0,0.0,0.0,59380.0,424650.0,0.0,60.0,110720.0,0.0,1889620.0,19130.0,90.0
70530,2011,0.0,0.0,0.0,11880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307140.0,0.0,8090.0,50.0,48190.0,0.0,7000.0,0.0,18370.0,23500.0,0.0,50900.0,0.0,0.0,55810.0,386630.0,0.0,0.0,109960.0,80.0,1479740.0,6990.0,0.0
70530,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19440.0,86810.0,0.0,11360.0,20.0,50600.0,0.0,46660.0,0.0,16290.0,27710.0,11080.0,46860.0,0.0,0.0,56120.0,691370.0,0.0,180.0,118480.0,10120.0,2666870.0,13190.0,0.0
70530,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13410.0,0.0,24770.0,0.0,12790.0,0.0,55790.0,0.0,21000.0,26990.0,4460.0,41830.0,0.0,0.0,32870.0,743640.0,0.0,0.0,111690.0,0.0,2759660.0,11660.0,0.0
70548,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70090.0,0.0,12840.0,0.0,860.0,0.0,19260.0,0.0,20140.0,112920.0,33730.0,215380.0,0.0,0.0,75660.0,664220.0,0.0,0.0,32490.0,0.0,1600960.0,0.0,110.0
70548,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28010.0,0.0,14470.0,0.0,510.0,0.0,43720.0,0.0,17290.0,87450.0,36000.0,93440.0,0.0,0.0,90410.0,951250.0,0.0,0.0,50880.0,0.0,2712820.0,220.0,0.0
70548,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25430.0,0.0,577070.0,220.0,29140.0,0.0,90460.0,0.0,29530.0,111700.0,164310.0,42840.0,0.0,0.0,47960.0,830010.0,0.0,0.0,70210.0,0.0,2399050.0,0.0,0.0
70556,2011,2863530.0,0.0,0.0,2050.0,0.0,27070.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,79750.0,0.0,61720.0,0.0,48810.0,3730.0,565720.0,0.0,759540.0,1521290.0,78010.0,565060.0,0.0,0.0,525830.0,4601130.0,0.0,0.0,982040.0,2780.0,2486150.0,203620.0,8400.0
70556,2012,0.0,0.0,0.0,2040.0,0.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89560.0,0.0,55980.0,0.0,41430.0,3240.0,730810.0,0.0,601140.0,1613060.0,20390.0,582000.0,0.0,0.0,526680.0,7214520.0,0.0,10.0,925280.0,2040.0,3206360.0,8280.0,2640.0
70556,2013,0.0,0.0,0.0,2140.0,0.0,9590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61660.0,0.0,16690.0,1980.0,590030.0,0.0,375990.0,1459100.0,12280.0,464930.0,0.0,0.0,569310.0,7136560.0,0.0,0.0,1147520.0,2960.0,3446480.0,14580.0,2260.0
70564,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28730.0,0.0,112970.0,0.0,0.0,0.0,6220800.0,144100.0,0.0,0.0,0.0,73410.0,0.0,0.0,0.0,5610.0,149070.0,347820.0,0.0
70564,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13230.0,0.0,21840.0,0.0,91750.0,0.0,0.0,0.0,7373080.0,118150.0,0.0,0.0,0.0,47920.0,0.0,0.0,0.0,2160.0,188520.0,165440.0,0.0
70564,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9590.0,0.0,45660.0,0.0,0.0,0.0,7775130.0,144810.0,0.0,0.0,0.0,55960.0,0.0,0.0,0.0,1260.0,89350.0,198050.0,0.0
70572,2011,549810.0,8230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96790.0,0.0,20350.0,4000.0,16710.0,4630.0,35860.0,0.0,548840.0,663090.0,0.0,266250.0,0.0,0.0,571580.0,1785300.0,0.0,0.0,530010.0,0.0,914050.0,331110.0,1440.0
70572,2012,0.0,0.0,0.0,5790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298160.0,0.0,20360.0,1500.0,9460.0,2120.0,353840.0,0.0,569930.0,701250.0,0.0,312300.0,0.0,0.0,511680.0,2766450.0,0.0,0.0,506680.0,0.0,1532640.0,30150.0,16960.0
70572,2013,0.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47890.0,0.0,14170.0,0.0,23900.0,1240.0,52460.0,0.0,413420.0,580420.0,0.0,250760.0,0.0,0.0,377850.0,2565440.0,0.0,0.0,509910.0,0.0,1694310.0,10730.0,0.0
70599,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11820.0,15550.0,0.0,25350.0,820.0,10160.0,0.0,1150.0,0.0,29270.0,37500.0,0.0,33090.0,0.0,0.0,95300.0,508060.0,0.0,0.0,124920.0,0.0,1512480.0,101270.0,0.0
70599,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90530.0,0.0,27820.0,0.0,13970.0,0.0,1280.0,0.0,30580.0,31850.0,0.0,35970.0,0.0,0.0,98950.0,754790.0,0.0,10.0,79290.0,0.0,1974500.0,74980.0,0.0
70599,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19170.0,8120.0,0.0,29510.0,0.0,320.0,0.0,1760.0,0.0,35270.0,50810.0,4000.0,22870.0,0.0,0.0,46390.0,752220.0,0.0,40.0,153580.0,0.0,2046480.0,80760.0,0.0
70602,2011,0.0,0.0,0.0,19810.0,0.0,31420.0,112630.0,0.0,0.0,0.0,0.0,0.0,0.0,164480.0,0.0,17130.0,3520.0,12530.0,2490.0,173020.0,0.0,147500.0,240830.0,10370.0,429410.0,0.0,0.0,237110.0,1610010.0,0.0,70.0,219100.0,0.0,2964490.0,24150.0,12340.0
70602,2012,0.0,0.0,0.0,252130.0,0.0,59450.0,59210.0,0.0,0.0,630.0,0.0,0.0,0.0,314930.0,0.0,15630.0,650.0,8430.0,60.0,191230.0,0.0,126030.0,210450.0,0.0,375480.0,0.0,0.0,253470.0,2546760.0,0.0,260.0,333250.0,0.0,4881240.0,22500.0,2030.0
70602,2013,0.0,0.0,0.0,8100.0,0.0,16360.0,4450.0,13390.0,0.0,0.0,0.0,0.0,0.0,160540.0,0.0,21390.0,0.0,20540.0,1190.0,190480.0,0.0,111560.0,266780.0,0.0,248340.0,0.0,0.0,209910.0,2431250.0,170.0,30.0,495620.0,1810.0,4460510.0,25140.0,1600.0
