old,mun_id,mun,region_id,region,area_id,area
RS225,70513,Doljevac,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,70823,Merosina,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,71005,Razanj,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS225,71064,Svrljig,RS22,Region Juzne i Istocne Srbije,RS225,Nisavska oblast
RS226,70939,Pirot-grad,RS22,Region Juzne i Istocne Srbije,RS226,Pirotska oblast
RS226,70050,Babusnica,RS22,Region Juzne i Istocne Srbije,RS226,Pirotska oblast
RS226,70084,Bela Palanka,RS22,Region Juzne i Istocne Srbije,RS226,Pirotska oblast
RS226,70505,Dimitrovgrad,RS22,Region Juzne i Istocne Srbije,RS226,Pirotska oblast
RS227,71099,Smederevo-grad,RS22,Region Juzne i Istocne Srbije,RS227,Podunavska oblast
RS227,70386,Velika Plana,RS22,Region Juzne i Istocne Srbije,RS227,Podunavska oblast
RS227,71102,Smederevska Palanka,RS22,Region Juzne i Istocne Srbije,RS227,Podunavska oblast
RS228,79057,Grad Vranje,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,70432,Vranje,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,71358,Vranjska Banja,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,70335,Bosilegrad,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,70351,Bujanovac,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,70416,Vladicin Han,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,70963,Presevo,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,71137,Surdulica,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS228,71161,Trgoviste,RS22,Region Juzne i Istocne Srbije,RS228,Pcinjska oblast
RS229,70998,Prokuplje,RS22,Region Juzne i Istocne Srbije,RS229,Toplicka oblast
RS229,70262,Blace,RS22,Region Juzne i Istocne Srbije,RS229,Toplicka oblast
RS229,70548,Zitoradja,RS22,Region Juzne i Istocne Srbije,RS229,Toplicka oblast
RS229,70688,Kursumlija,RS22,Region Juzne i Istocne Srbije,RS229,Toplicka oblast
RS231,90263,Pristina-grad,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90034,Glogovac,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90115,Kacanik,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90131,Kosovo Polje,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90166,Lipljan,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90204,Obilic,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90247,Podujevo,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90301,Urosevac,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90310,Stimlje,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90328,Strpce,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS232,90298,Kosovska Mitrovica,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrovacka oblast
RS232,90026,Vucitrn,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrovacka oblast
RS232,90352,Zvecan,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrovacka oblast
RS232,90093,Zubin Potok,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrovacka oblast
RS232,90158,Leposavic,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrovacka oblast
RS232,90271,Srbica,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrovacka oblast
RS233,90042,Gnjilane,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS233,90018,Vitina,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS233,90140,Kosovska Kamenica,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS233,90182,Novo Brdo,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS234,90239,Pec,RS23,Region Kosovo i Metohija,RS234,Pecka oblast
RS234,90069,Decani,RS23,Region Kosovo i Metohija,RS234,Pecka oblast
RS234,90085,Djakovica,RS23,Region Kosovo i Metohija,RS234,Pecka oblast
RS234,90107,Istok,RS23,Region Kosovo i Metohija,RS234,Pecka oblast
RS234,90123,Klina,RS23,Region Kosovo i Metohija,RS234,Pecka oblast
RS235,90255,Prizren,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
RS235,90336,Gora,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
RS235,90212,Orahovac,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
RS235,90280,Suva Reka,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
