mun_id,year,average_wage
70483,2014,383.56
70564,2010,238.4
70564,2011,293.69
70564,2012,307.33
70564,2013,327.82
70564,2014,323.44
70742,2010,296.51
70742,2011,350.36
70742,2012,388.28
70742,2013,414.72
70742,2014,413.09
71048,2010,276.34
71048,2011,312.44
71048,2012,343.84
71048,2013,359.0
71048,2014,353.23
70491,2010,317.54
70491,2011,333.98
70491,2012,371.12
70491,2013,398.19
70491,2014,399.79
70904,2010,293.93
70904,2011,306.48
70904,2012,338.06
70904,2013,381.45
70904,2014,379.3
71030,2010,219.26
71030,2011,246.13
71030,2012,311.87
71030,2013,320.95
71030,2014,302.55
71056,2010,287.09
71056,2011,338.94
71056,2012,371.41
71056,2013,387.02
71056,2014,380.59
71200,2010,275.38
71200,2011,304.88
71200,2012,333.49
71200,2013,347.0
71200,2014,343.27
70670,2010,292.56
70670,2011,313.93
70670,2012,336.99
70670,2013,361.49
70670,2014,366.44
70017,2010,227.23
70017,2011,275.57
70017,2012,311.34
70017,2013,329.73
70017,2014,313.17
70343,2010,231.93
70343,2011,273.83
70343,2012,305.03
70343,2013,323.9
70343,2014,314.55
70378,2010,239.76
70378,2011,268.05
70378,2012,313.3
70378,2013,338.1
70378,2014,344.42
71170,2010,240.92
71170,2011,291.6
71170,2012,317.82
71170,2013,339.25
71170,2014,338.37
71196,2010,221.13
71196,2011,251.46
71196,2012,280.73
71196,2013,294.17
71196,2014,290.86
70653,2010,290.95
70653,2011,323.09
70653,2012,353.76
70653,2013,374.0
70653,2014,365.0
70459,2010,246.81
70459,2011,268.84
70459,2012,313.33
70459,2013,337.11
70459,2014,333.38
70874,2010,255.77
70874,2011,296.77
70874,2012,328.98
70874,2013,346.52
70874,2014,343.92
71021,2010,265.38
71021,2011,309.08
71021,2012,348.51
71021,2013,367.61
71021,2014,365.02
71188,2010,263.27
71188,2011,306.55
71188,2012,358.18
71188,2013,376.1
71188,2014,375.2
70645,2010,315.7
70645,2011,369.18
70645,2012,392.82
70645,2013,430.11
70645,2014,417.44
70033,2010,293.48
70033,2011,320.92
70033,2012,359.68
70033,2013,375.17
70033,2014,403.24
70076,2010,249.3
70076,2011,271.27
70076,2012,287.59
70076,2013,287.32
70076,2014,296.04
70599,2010,257.87
70599,2011,280.29
70599,2012,310.64
70599,2013,323.69
70599,2014,332.83
71277,2010,270.55
71277,2011,300.18
71277,2012,337.28
71277,2013,359.38
71277,2014,379.09
71013,2010,214.86
71013,2011,261.33
71013,2012,306.62
71013,2013,320.34
71013,2014,302.88
71153,2010,220.98
71153,2011,292.56
71153,2012,297.46
71153,2013,316.82
71153,2014,320.36
70327,2010,343.01
70327,2011,420.8
70327,2012,484.28
70327,2013,523.81
70327,2014,519.83
70572,2010,333.97
70572,2011,381.86
70572,2012,428.7
70572,2013,453.95
70572,2014,422.56
70785,2010,321.04
70785,2011,385.66
70785,2012,434.11
70785,2013,460.38
70785,2014,468.35
70840,2010,296.74
70840,2011,325.48
70840,2012,351.72
70840,2013,391.21
70840,2014,394.43
79049,2010,378.22
79049,2011,424.91
79049,2012,456.09
79049,2013,486.57
79049,2014,506.88
70947,2011,338.84
70947,2012,368.31
70947,2013,397.1
70947,2014,402.29
71340,2011,560.13
71340,2012,587.45
71340,2013,619.47
71340,2014,666.76
70394,2010,214.54
70394,2011,242.71
70394,2012,278.75
70394,2013,321.96
70394,2014,326.41
70475,2010,233.46
70475,2011,238.53
70475,2012,283.69
70475,2013,299.04
70475,2014,269.56
70521,2010,265.97
70521,2011,306.52
70521,2012,305.52
70521,2013,300.13
70521,2014,287.74
70530,2010,277.69
70530,2011,318.06
70530,2012,354.42
70530,2013,370.31
70530,2014,374.63
70696,2010,261.19
70696,2011,280.16
70696,2012,310.81
70696,2013,321.01
70696,2014,329.47
70807,2010,218.28
70807,2011,237.45
70807,2012,264.96
70807,2013,273.14
70807,2014,275.99
70912,2010,255.63
70912,2011,273.53
70912,2012,298.7
70912,2013,311.68
70912,2014,319.57
70556,2010,302.39
70556,2011,335.5
70556,2012,373.94
70556,2013,394.42
70556,2014,406.32
70319,2010,249.1
70319,2011,278.78
70319,2012,320.44
70319,2013,356.74
70319,2014,349.04
70602,2010,210.45
70602,2011,240.28
70602,2012,278.78
70602,2013,303.13
70602,2014,318.64
71129,2010,303.87
71129,2011,336.9
71129,2012,370.3
71129,2013,388.07
71129,2014,391.87
70726,2010,267.33
70726,2011,290.22
70726,2012,319.8
70726,2013,339.98
70726,2014,339.55
70297,2010,251.5
70297,2011,285.35
70297,2012,317.29
70297,2013,345.23
70297,2014,342.16
70424,2010,220.61
70424,2011,243.36
70424,2012,270.1
70424,2013,286.87
70424,2014,289.49
70718,2010,250.61
70718,2011,269.88
70718,2012,293.71
70718,2013,304.46
70718,2014,315.71
70815,2010,295.11
70815,2011,344.4
70815,2012,361.86
70815,2013,392.35
70815,2014,393.43
71226,2010,221.36
71226,2011,234.57
71226,2012,270.25
71226,2013,318.39
71226,2014,314.56
79022,2010,291.32
79022,2011,332.75
79022,2012,357.65
79022,2013,384.6
79022,2014,394.92
71331,2010,308.78
71331,2011,350.12
71331,2012,376.17
71331,2013,404.41
71331,2014,410.47
71285,2010,280.02
71285,2011,282.08
71285,2012,293.08
71285,2013,279.43
71285,2014,314.82
71323,2010,201.25
71323,2011,243.9
71323,2012,271.33
71323,2013,283.66
71323,2014,298.95
71307,2010,199.47
71307,2011,232.62
71307,2012,279.58
71307,2013,316.77
71307,2014,328.74
71315,2010,330.79
71315,2011,386.26
71315,2012,393.9
71315,2013,435.19
71315,2014,453.37
70025,2010,277.03
70025,2011,307.1
70025,2012,325.31
70025,2013,360.32
70025,2014,369.54
70467,2010,188.94
70467,2011,215.68
70467,2012,290.6
70467,2013,287.44
70467,2014,285.34
70513,2010,242.38
70513,2011,247.07
70513,2012,287.54
70513,2013,318.31
70513,2014,310.2
70823,2010,252.88
70823,2011,247.96
70823,2012,250.99
70823,2013,351.23
70823,2014,340.5
71005,2010,257.21
71005,2011,271.13
71005,2012,296.45
71005,2013,308.81
71005,2014,316.87
71064,2010,221.25
71064,2011,252.88
71064,2012,274.32
71064,2013,299.88
71064,2014,305.74
70939,2010,297.2
70939,2011,346.62
70939,2012,380.43
70939,2013,364.29
70939,2014,409.75
70050,2010,276.03
70050,2011,268.49
70050,2012,281.05
70050,2013,288.43
70050,2014,322.05
70084,2010,196.77
70084,2011,220.08
70084,2012,243.59
70084,2013,268.75
70084,2014,275.94
70505,2010,250.19
70505,2011,270.37
70505,2012,274.23
70505,2013,298.22
70505,2014,307.78
71099,2010,375.24
